ANNU REV BIOCHEM	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.891	19.302	20.037	19.755	17.412	17.89	16.865	14.518	14.034	14.031	12.193	12.193
NAT GENET	13.779	13.779	13.779	13.779	13.779	13.779	13.779	13.779	13.779	13.779	13.779	14.505	15.586	17.7	17.584	17.402	16.173	15.919	16.807	16.456	16.652	16.807	16.807
ANNU REV IMMUNOL	26.653	26.653	26.653	26.653	26.653	26.653	26.653	26.653	26.653	26.653	26.653	24.671	21.37	25.132	23.427	23.191	23.737	23.711	20.366	20.551	16.988	14.749	14.749
CELL	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.871	20.124	20.591	20.554	19.272	20.124	19.361	18.967	20.061	19.509	20.369	20.369
NAT MED	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.958	12.254	12.479	12.156	12.39	12.3	12.48	13.038	14.872	15.143	15.662	15.662
NEW ENGL J MED	17.864	17.864	17.864	17.864	17.864	17.864	17.864	17.864	17.864	17.864	17.864	18.763	19.868	21.349	21.304	21.642	22.412	24.284	25.797	27.769	29.423	30.593	30.593
NATURE	16.996	16.996	16.996	16.996	16.996	16.996	16.996	16.996	16.996	16.996	16.996	17.279	18.062	19.306	20.373	20.801	22.184	21.96	22.261	22.976	22.535	22.396	22.396
SCIENCE	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.286	16.58	16.818	17.525	17.697	17.698	17.885	18.048	19.162	19.907	20.001	20.001
ENDOCR REV	9.23	9.23	9.23	9.23	9.23	9.23	9.23	9.23	9.23	9.23	9.23	8.339	8.674	7.863	8.159	7.821	8.571	7.574	6.412	6.358	6.051	5.911	5.911
ANNU REV NEUROSCI	17.191	17.191	17.191	17.191	17.191	17.191	17.191	17.191	17.191	17.191	17.191	18.915	19.291	16.82	16.169	17.03	15.009	13.624	11.517	11.953	10.168	9.802	9.802
IMMUNITY	10.277	10.277	10.277	10.277	10.277	10.277	10.277	10.277	10.277	10.277	10.277	10.117	11.246	12.584	11.981	12.141	11.149	11.66	11.273	12.7	11.464	11.229	11.229
PHARMACOL REV	7.86	7.86	7.86	7.86	7.86	7.86	7.86	7.86	7.86	7.86	7.86	7.743	8.0	8.249	8.334	8.096	8.062	7.548	7.768	7.024	6.824	6.705	6.705
PHYSIOL REV	14.773	14.773	14.773	14.773	14.773	14.773	14.773	14.773	14.773	14.773	14.773	15.259	15.86	14.697	14.983	15.056	13.875	13.773	13.528	13.409	12.669	11.876	11.876
ANNU REV CELL DEV BI	16.606	16.606	16.606	16.606	16.606	16.606	16.606	16.606	16.606	16.606	16.606	16.22	15.561	13.318	11.421	11.113	10.877	10.99	10.098	10.1	8.810	9.328	9.328
GENE DEV	10.109	10.109	10.109	10.109	10.109	10.109	10.109	10.109	10.109	10.109	10.109	9.105	8.965	8.48	8.018	7.123	7.475	6.506	6.49	6.37	6.039	5.235	5.235
TRENDS BIOCHEM SCI	7.371	7.371	7.371	7.371	7.371	7.371	7.371	7.371	7.371	7.371	7.371	7.029	6.325	6.502	5.87	5.77	6.006	5.527	6.07	6.711	6.717	7.006	7.006
CHEM REV	10.662	10.662	10.662	10.662	10.662	10.662	10.662	10.662	10.662	10.662	10.662	11.136	12.145	12.48	13.333	14.361	14.261	14.711	15.263	15.124	15.994	15.689	15.689
MICROBIOL REV	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CURR OPIN CELL BIOL	8.053	8.053	8.053	8.053	8.053	8.053	8.053	8.053	8.053	8.053	8.053	7.74	7.917	7.345	6.95	6.237	5.416	4.616	4.144	4.195	4.049	4.076	4.076
PROG INORG CHEM	1.791	1.791	1.791	1.791	1.791	1.791	1.791	1.791	1.791	1.791	1.791	1.791	1.791	2.651	2.936	1.778	1.778	1.311	1.343	1.975	0.0	0.0	0.0
ANNU REV PHYSIOL	7.732	7.732	7.732	7.732	7.732	7.732	7.732	7.732	7.732	7.732	7.732	7.915	8.05	7.822	9.657	8.101	7.85	8.291	7.774	6.706	7.532	7.291	7.291
TRENDS NEUROSCI	6.406	6.406	6.406	6.406	6.406	6.406	6.406	6.406	6.406	6.406	6.406	6.91	6.62	6.61	6.626	6.607	6.407	6.266	5.941	6.01	5.522	5.599	5.599
ANNU REV PLANT PHYS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SOLID STATE PHYS	3.154	3.154	3.154	3.154	3.154	3.154	3.154	3.154	3.154	3.154	3.154	3.154	3.154	4.194	3.323	2.249	1.547	1.88	1.475	2.217	1.421	1.632	1.632
IMMUNOL TODAY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LANCET	9.318	9.318	9.318	9.318	9.318	9.318	9.318	9.318	9.318	9.318	9.318	9.946	10.906	12.715	13.611	14.575	15.986	17.592	19.156	19.455	21.006	21.663	21.663
NEURON	7.884	7.884	7.884	7.884	7.884	7.884	7.884	7.884	7.884	7.884	7.884	8.296	8.265	8.265	8.508	8.763	8.682	8.682	8.439	8.624	8.382	8.643	8.643
ANNU REV PHARMACOL	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.76	7.676	7.988	8.269	8.037	7.056	6.942	6.372	5.619	5.485	5.318	5.318
FASEB J	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.614	2.52	2.521	2.243	2.185	2.097	1.973	1.878	1.808	1.732	1.675	1.675
J EXP MED	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.785	7.396	7.972	7.834	7.525	7.174	6.843	6.631	7.132	6.038	5.540	5.540
ACCOUNTS CHEM RES	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	5.925	6.387	7.076	7.299	7.951	7.988	7.573	7.326	7.435	7.125	6.606	6.606
EMBO J	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.16	5.552	5.299	4.867	5.172	5.568	5.082	4.902	5.239	5.384	5.334	5.334
REV MOD PHYS	25.456	25.456	25.456	25.456	25.456	25.456	25.456	25.456	25.456	25.456	25.456	24.877	24.369	31.178	28.9	32.565	32.037	31.158	27.008	23.824	19.497	19.803	19.803
TRENDS PHARMACOL SCI	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.305	3.334	3.677	3.721	3.518	3.649	3.521	3.41	3.636	3.798	3.888	3.888
ANNU REV GENET	11.429	11.429	11.429	11.429	11.429	11.429	11.429	11.429	11.429	11.429	11.429	10.338	12.137	12.952	12.134	11.447	12.073	10.699	9.278	8.863	7.043	6.627	6.627
ANN INTERN MED	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.27	6.772	7.438	7.912	7.71	7.416	8.134	7.75	8.579	9.222	9.538	9.538
J CELL BIOL	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.641	5.748	5.776	5.579	5.441	5.492	5.406	5.007	4.56	4.764	4.446	4.446
CRIT REV BIOCHEM MOL	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.385	6.186	5.965	4.431	3.811	3.702	3.255	3.374	3.345	3.290	2.983	2.983
ADV IMMUNOL	3.427	3.427	3.427	3.427	3.427	3.427	3.427	3.427	3.427	3.427	3.427	4.182	3.413	4.675	4.182	4.037	3.503	3.494	2.994	0.0	2.491	2.736	2.736
PROTEIN PROFILE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRAIN RES REV	2.682	2.682	2.682	2.682	2.682	2.682	2.682	2.682	2.682	2.682	2.682	2.529	2.695	2.926	3.354	3.089	2.975	2.975	2.975	0.0	0.0	0.0	0.0
J NATL CANCER I	5.821	5.821	5.821	5.821	5.821	5.821	5.821	5.821	5.821	5.821	5.821	5.791	5.976	6.123	6.188	6.188	6.188	6.188	6.188	0.0	0.0	0.0	0.0
ADV CATAL	4.368	4.368	4.368	4.368	4.368	4.368	4.368	4.368	4.368	4.368	4.368	2.471	3.118	2.989	1.573	1.533	2.155	3.287	1.923	2.012	2.394	1.474	1.474
TRENDS CELL BIOL	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.13	6.904	6.795	6.523	6.196	5.861	5.581	5.442	6.258	7.205	6.815	6.815
NAT STRUCT BIOL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARCH GEN PSYCHIAT	6.313	6.313	6.313	6.313	6.313	6.313	6.313	6.313	6.313	6.313	6.313	6.705	6.354	6.065	5.436	5.625	5.215	6.133	6.133	0.0	0.0	0.0	0.0
GASTROENTEROLOGY	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.956	4.032	4.234	4.514	4.665	4.877	5.132	5.681	6.258	7.268	6.596	6.596
AM J HUM GENET	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.42	5.783	6.219	5.867	5.976	5.087	5.381	5.676	5.556	5.239	5.272	5.272
HUM BRAIN MAPP	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.387	2.757	2.328	2.382	2.592	2.44	2.288	2.088	1.944	1.894	1.784	1.784
MOL CELL BIOL	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.43	3.435	3.25	3.019	2.778	2.686	2.402	2.166	2.15	2.024	1.760	1.760
CURR OPIN GENET DEV	5.49	5.49	5.49	5.49	5.49	5.49	5.49	5.49	5.49	5.49	5.49	4.678	4.701	4.681	4.378	4.377	4.317	3.736	3.102	2.975	2.888	2.608	2.608
TRENDS GENET	5.238	5.238	5.238	5.238	5.238	5.238	5.238	5.238	5.238	5.238	5.238	4.637	4.414	4.787	4.476	4.735	5.233	4.82	4.823	5.202	4.972	4.716	4.716
DEVELOPMENT	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.933	4.18	3.75	3.676	3.353	3.395	3.098	2.867	2.863	2.828	2.798	2.798
CIRCULATION	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.791	5.055	5.317	5.973	6.02	5.9	6.333	6.828	6.93	7.195	8.025	8.025
PLANT CELL	5.138	5.138	5.138	5.138	5.138	5.138	5.138	5.138	5.138	5.138	5.138	4.35	4.532	4.059	3.752	3.795	3.815	3.474	3.291	3.563	3.438	3.643	3.643
J CLIN INVEST	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.469	7.152	7.227	6.951	6.401	6.309	6.118	5.959	6.189	5.992	5.400	5.400
ANNU REV ASTRON ASTR	13.918	13.918	13.918	13.918	13.918	13.918	13.918	13.918	13.918	13.918	13.918	14.444	15.407	15.76	17.157	17.223	18.988	22.835	19.063	20.813	20.671	20.576	20.576
ANN NEUROL	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.337	3.585	3.995	4.188	4.423	4.184	4.176	4.36	4.485	4.452	4.246	4.246
ANNU REV BIOPH BIOM	9.516	9.516	9.516	9.516	9.516	9.516	9.516	9.516	9.516	9.516	9.516	9.168	10.588	10.588	10.588	10.588	10.588	10.588	10.588	0.0	0.0	0.0	0.0
BLOOD	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.371	3.503	3.711	3.692	3.41	3.697	3.627	3.889	4.022	4.516	4.804	4.804
