Journal	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
ANNU REV BIOCHEM	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.891	19.302	20.037	19.755	17.412	17.89	16.865	14.518	14.034	14.031	12.193	11.564	12.328
NAT GENET	13.779	13.779	13.779	13.779	13.779	13.779	13.779	13.779	13.779	13.779	13.779	14.505	15.586	17.7	17.584	17.402	16.173	15.919	16.807	16.456	16.652	16.807	16.922	19.017
ANNU REV IMMUNOL	26.653	26.653	26.653	26.653	26.653	26.653	26.653	26.653	26.653	26.653	26.653	24.671	21.37	25.132	23.427	23.191	23.737	23.711	20.366	20.551	16.988	14.749	12.645	13.651
CELL	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.871	20.124	20.591	20.554	19.272	20.124	19.361	18.967	20.061	19.509	20.369	20.841	23.88
NAT MED	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.958	12.254	12.479	12.156	12.39	12.3	12.48	13.038	14.872	15.143	15.662	16.437	20.808
NEW ENGL J MED	17.864	17.864	17.864	17.864	17.864	17.864	17.864	17.864	17.864	17.864	17.864	18.763	19.868	21.349	21.304	21.642	22.412	24.284	25.797	27.769	29.423	30.593	31.319	37.239
NATURE	16.996	16.996	16.996	16.996	16.996	16.996	16.996	16.996	16.996	16.996	16.996	17.279	18.062	19.306	20.373	20.801	22.184	21.96	22.261	22.976	22.535	22.396	21.96	23.887
SCIENCE	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.286	16.58	16.818	17.525	17.697	17.698	17.885	18.048	19.162	19.907	20.001	20.309	22.107
ENDOCR REV	9.23	9.23	9.23	9.23	9.23	9.23	9.23	9.23	9.23	9.23	9.23	8.339	8.674	7.863	8.159	7.821	8.571	7.574	6.412	6.358	6.051	5.911	5.814	7.265
ANNU REV NEUROSCI	17.191	17.191	17.191	17.191	17.191	17.191	17.191	17.191	17.191	17.191	17.191	18.915	19.291	16.82	16.169	17.03	15.009	13.624	11.517	11.953	10.168	9.802	8.554	8.785
IMMUNITY	10.277	10.277	10.277	10.277	10.277	10.277	10.277	10.277	10.277	10.277	10.277	10.117	11.246	12.584	11.981	12.141	11.149	11.66	11.273	12.7	11.464	11.229	11.879	14.063
PHARMACOL REV	7.86	7.86	7.86	7.86	7.86	7.86	7.86	7.86	7.86	7.86	7.86	7.743	8.0	8.249	8.334	8.096	8.062	7.548	7.768	7.024	6.824	6.705	6.573	7.34
PHYSIOL REV	14.773	14.773	14.773	14.773	14.773	14.773	14.773	14.773	14.773	14.773	14.773	15.259	15.86	14.697	14.983	15.056	13.875	13.773	13.528	13.409	12.669	11.876	10.566	11.468
ANNU REV CELL DEV BI	16.606	16.606	16.606	16.606	16.606	16.606	16.606	16.606	16.606	16.606	16.606	16.22	15.561	13.318	11.421	11.113	10.877	10.99	10.098	10.1	8.81	9.328	9.675	7.761
GENE DEV	10.109	10.109	10.109	10.109	10.109	10.109	10.109	10.109	10.109	10.109	10.109	9.105	8.965	8.48	8.018	7.123	7.475	6.506	6.49	6.37	6.039	5.235	5.331	5.715
TRENDS BIOCHEM SCI	7.371	7.371	7.371	7.371	7.371	7.371	7.371	7.371	7.371	7.371	7.371	7.029	6.325	6.502	5.87	5.77	6.006	5.527	6.07	6.711	6.717	7.006	7.492	7.089
CHEM REV	10.662	10.662	10.662	10.662	10.662	10.662	10.662	10.662	10.662	10.662	10.662	11.136	12.145	12.48	13.333	14.361	14.261	14.711	15.263	15.124	15.994	15.689	16.496	17.068
CURR OPIN CELL BIOL	8.053	8.053	8.053	8.053	8.053	8.053	8.053	8.053	8.053	8.053	8.053	7.74	7.917	7.345	6.95	6.237	5.416	4.616	4.144	4.195	4.049	4.076	3.887	3.86
ANNU REV PHYSIOL	7.732	7.732	7.732	7.732	7.732	7.732	7.732	7.732	7.732	7.732	7.732	7.915	8.05	7.822	9.657	8.101	7.85	8.291	7.774	6.706	7.532	7.291	6.672	8.049
TRENDS NEUROSCI	6.406	6.406	6.406	6.406	6.406	6.406	6.406	6.406	6.406	6.406	6.406	6.91	6.62	6.61	6.626	6.607	6.407	6.266	5.941	6.01	5.522	5.599	5.303	6.041
SOLID STATE PHYS	3.154	3.154	3.154	3.154	3.154	3.154	3.154	3.154	3.154	3.154	3.154	3.154	3.154	4.194	3.323	2.249	1.547	1.88	1.475	2.217	1.421	1.632	2.272	1.419
LANCET	9.318	9.318	9.318	9.318	9.318	9.318	9.318	9.318	9.318	9.318	9.318	9.946	10.906	12.715	13.611	14.575	15.986	17.592	19.156	19.455	21.006	21.663	23.354	29.078
NEURON	7.884	7.884	7.884	7.884	7.884	7.884	7.884	7.884	7.884	7.884	7.884	8.296	8.265	8.265	8.508	8.763	8.682	8.682	8.439	8.624	8.382	8.643	8.274	9.339
ANNU REV PHARMACOL	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.76	7.676	7.988	8.269	8.037	7.056	6.942	6.372	5.619	5.485	5.318	4.298	4.269
FASEB J	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.614	2.52	2.521	2.243	2.185	2.097	1.973	1.878	1.808	1.732	1.675	1.549	1.48
J EXP MED	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.785	7.396	7.972	7.834	7.525	7.174	6.843	6.631	7.132	6.038	5.54	5.557	6.394
ACCOUNTS CHEM RES	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	5.925	6.387	7.076	7.299	7.951	7.988	7.573	7.326	7.435	7.125	6.606	6.244	6.27
EMBO J	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.16	5.552	5.299	4.867	5.172	5.568	5.082	4.902	5.239	5.384	5.334	4.972	5.39
