Journal	JournalFullName	ISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
2D MATER	2D MATERIALS	2053-1583	5.146	5.146	5.146	5.146	5.146	5.146	5.146	5.146	5.146	5.146	5.146	5.146	5.146	5.146	5.146	5.146	5.146	5.146	5.146	2.708	2.646	2.729	2.439	2.17	1.858	1.64	1.64
3 BIOTECH	3 BIOTECH	2190-572X	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.335	0.303	0.374	0.373	0.469	0.448	0.423	0.423
3D PRINT ADDIT MANUF	3D PRINTING AND ADDITIVE MANUFACTURING	2329-7662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.856	0.634	0.867	0.925	1.068	0.867	0.766	0.766
4OR-Q J OPER RES	4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH	1619-4500	0.635	0.635	0.635	0.635	0.635	0.635	0.635	0.635	0.635	0.635	0.635	0.635	0.635	0.635	0.635	0.635	0.823	0.478	0.807	0.74	0.541	1.01	0.673	0.783	0.654	0.591	0.591
AAPG BULL	AAPG BULLETIN	0149-1423	1.008	1.008	1.008	1.008	1.008	1.008	1.008	1.008	1.008	1.008	1.008	0.8	0.856	0.937	0.95	1.019	0.791	1.226	1.316	1.365	1.619	1.266	1.103	1.089	0.968	0.969	0.969
AAPS J	AAPS JOURNAL	1550-7416	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.202	1.327	1.466	1.529	1.537	1.327	1.206	1.163	1.061	1.074	1.014	0.92	1.009	0.893	0.876	0.876
AAPS PHARMSCITECH	AAPS PHARMSCITECH	1530-9932	0.394	0.394	0.394	0.394	0.394	0.394	0.394	0.394	0.394	0.394	0.394	0.394	0.394	0.453	0.393	0.418	0.467	0.486	0.466	0.521	0.482	0.461	0.398	0.463	0.475	0.419	0.419
AATCC J RES	AATCC JOURNAL OF RESEARCH	2330-5517	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.04	0.091	0.128	0.135	0.17	0.079	0.105	0.105
ABACUS	ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES	0001-3072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.296	0.172	0.372	0.383	0.616	0.625	0.616	0.616
ABDOM RADIOL	ABDOMINAL RADIOLOGY	2366-004X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.364	0.541	0.593	0.69	0.657	0.648	0.648
ABH MATH SEM HAMBURG	ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG	0025-5858	0.183	0.183	0.183	0.183	0.183	0.183	0.183	0.183	0.183	0.183	0.183	0.174	0.368	0.295	0.237	0.68	0.638	0.65	0.653	0.369	0.652	0.472	0.551	0.565	0.338	0.485	0.485
ACAD EMERG MED	ACADEMIC EMERGENCY MEDICINE	1069-6563	0.738	0.738	0.738	0.738	0.738	0.738	0.738	0.738	0.738	0.738	0.738	0.791	0.792	0.933	0.859	0.905	0.908	0.859	0.936	1.04	1.139	1.202	1.306	1.376	1.545	1.459	1.459
ACAD MANAG ANN	ACADEMY OF MANAGEMENT ANNALS	1941-6520	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.963	8.648	8.628	7.869	11.762	12.596	14.179	14.179
ACAD MANAG LEARN EDU	ACADEMY OF MANAGEMENT LEARNING & EDUCATION	1537-260X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.881	0.98	1.05	1.832	2.028	1.824	1.824
