Journal	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
ANNU REV BIOCHEM	40.782	39.0	37.111	43.429	31.639	36.278	37.647	31.538	33.456	36.525	31.19	30.016	29.875	29.742	34.317	27.681	26.534	30.283	21.407	19.939	20.154	26.922	25.787	23.643	27.258	27.258
NAT GENET	38.854	40.361	30.693	30.91	29.6	26.711	26.494	24.695	25.797	24.176	25.556	30.259	34.284	36.377	35.532	35.209	29.648	29.352	31.616	27.959	27.125	25.455	27.603	38.33	41.307	41.307
ANNU REV IMMUNOL	37.796	42.929	47.564	50.34	46.233	54.455	52.28	52.431	47.4	47.237	47.981	41.059	37.902	49.271	52.761	36.556	41.392	39.327	35.543	28.396	22.714	21.429	19.9	28.527	32.481	32.481
CELL	37.297	38.686	36.242	32.44	29.219	27.254	26.626	28.389	29.431	29.194	29.887	31.253	31.152	32.406	32.403	31.957	33.116	32.242	28.71	30.41	31.398	36.216	38.637	41.582	66.85	66.85
NAT MED	28.114	27.93	26.584	27.905	27.906	28.74	30.55	31.223	28.878	28.588	26.382	27.553	27.136	25.43	22.462	24.302	28.054	28.223	30.357	29.886	32.621	30.641	36.13	53.44	87.241	87.241
NEW ENGL J MED	27.766	28.66	28.857	29.512	29.065	31.736	34.833	38.57	44.016	51.296	52.589	50.017	47.05	53.486	53.298	51.658	54.42	55.873	59.558	72.406	79.258	70.67	74.699	91.245	176.079	176.079
NATURE	27.368	28.833	29.491	25.814	27.955	30.432	30.979	32.182	29.273	26.681	28.751	31.434	34.48	36.104	36.28	38.597	42.351	41.456	38.138	40.137	41.577	43.07	42.778	49.962	69.504	69.504
SCIENCE	24.676	24.386	24.595	23.872	23.329	26.682	29.781	31.853	30.927	30.028	26.372	28.103	29.747	31.377	31.201	31.027	31.477	33.611	34.661	37.205	41.058	41.037	41.845	47.728	63.714	63.714
ENDOCR REV	23.017	21.017	20.25	19.524	26.456	21.643	17.324	18.784	22.538	23.901	18.493	18.562	19.761	22.469	19.929	14.873	19.358	21.059	14.898	15.745	15.545	15.167	14.661	19.871	25.261	25.261
ANNU REV NEUROSCI	21.952	23.023	22.605	26.676	27.152	24.091	30.167	23.143	24.184	28.533	26.077	26.405	24.822	26.756	25.737	20.614	22.66	19.32	14.265	15.63	14.675	12.043	12.547	12.449	15.553	15.553
IMMUNITY	20.82	20.518	20.563	21.083	18.866	17.468	16.016	15.448	15.156	18.306	19.266	20.579	20.589	24.221	21.637	19.795	19.748	21.561	24.082	22.845	19.734	21.522	22.553	31.745	43.474	43.474
PHARMACOL REV	19.303	14.781	15.421	25.381	23.825	26.568	27.067	22.837	15.689	16.854	18.823	21.936	17.0	18.861	20.225	22.345	18.551	17.099	18.393	17.893	18.964	18.886	17.395	25.468	18.923	18.923
PHYSIOL REV	19.259	23.656	23.953	27.677	30.061	26.532	36.831	33.918	28.721	31.441	29.6	35.0	37.726	28.417	26.866	30.174	29.041	27.324	30.924	27.312	24.014	24.25	25.588	37.312	46.5	46.5
ANNU REV CELL DEV BI	19.0	21.386	26.263	26.3	27.106	22.87	22.638	17.804	23.69	26.576	23.545	22.731	19.571	14.078	15.836	17.983	20.241	16.66	12.755	14.917	9.032	10.833	14.667	13.827	11.902	11.902
GENE DEV	18.868	19.067	19.22	19.676	20.88	18.772	17.013	16.385	15.61	15.05	14.795	13.623	12.075	12.889	11.659	12.444	12.639	10.798	10.042	9.413	9.462	8.99	9.527	11.361	12.89	12.89
TRENDS BIOCHEM SCI	18.766	17.085	15.705	13.246	14.329	14.398	14.273	14.112	13.343	13.863	14.994	14.101	11.572	10.364	10.847	13.076	13.522	11.227	12.81	16.63	15.678	16.889	14.732	13.807	14.264	14.264
CHEM REV	18.286	20.228	21.244	20.036	21.044	20.993	21.036	20.233	20.869	26.054	22.757	23.592	35.957	33.036	40.197	41.298	45.661	46.568	37.369	47.928	52.613	54.301	52.758	60.622	72.087	72.087
CURR OPIN CELL BIOL	18.133	22.904	25.631	22.754	21.568	19.022	18.176	15.422	15.246	14.299	13.444	12.543	14.153	13.54	12.897	11.41	8.736	8.467	8.851	9.937	10.015	8.233	8.24	8.382	8.386	8.386
ANNU REV PHYSIOL	17.386	13.23	19.797	18.848	12.753	15.931	18.591	16.672	13.359	15.356	18.875	19.74	18.17	16.106	20.827	19.547	14.696	18.51	15.754	11.115	14.327	17.902	19.556	19.318	22.163	22.163
TRENDS NEUROSCI	17.084	18.463	19.925	17.417	16.475	14.474	12.631	14.794	14.325	13.494	12.479	12.817	12.794	13.32	14.235	13.582	12.902	13.555	12.504	11.124	11.439	12.314	12.891	13.837	16.978	16.978
SOLID STATE PHYS	16.75	9.75	9.889	9.25	9.667	6.6	7.0	16.0	6.25	9.5	4.667	4.667	4.667	4.667	3.333	4.0	2.429	3.429	2.857	5.0	5.667	4.5	5.25	5.375	3.9	3.9
LANCET	16.135	11.793	10.197	10.232	13.251	15.397	18.316	21.713	23.878	25.8	28.638	28.409	30.758	33.633	38.278	39.06	39.207	45.217	44.002	47.831	53.254	59.102	60.392	79.321	202.731	202.731
NEURON	15.821	16.505	16.782	15.081	14.153	13.846	14.109	14.439	14.304	13.894	13.41	14.17	13.26	14.027	14.736	15.766	15.982	15.054	13.974	14.024	14.318	14.403	14.415	17.173	18.688	18.688
ANNU REV PHARMACOL	15.132	20.8	21.175	19.289	20.795	19.678	21.786	21.104	19.833	22.808	21.696	21.561	22.468	19.238	21.639	21.543	18.523	18.365	14.769	12.877	13.295	12.103	11.25	13.82	16.459	16.459
FASEB J	14.629	13.861	11.88	9.249	8.817	7.252	7.172	6.82	7.064	6.721	6.791	7.049	6.401	6.515	5.712	5.704	5.48	5.043	5.299	5.498	5.595	5.391	4.966	5.191	5.834	5.834
J EXP MED	14.384	15.882	15.651	15.236	15.34	15.837	15.302	14.588	13.965	14.484	15.612	15.463	14.505	14.776	13.853	13.214	13.912	12.515	11.24	11.991	10.79	10.892	11.743	14.307	17.579	17.579
ACCOUNTS CHEM RES	14.045	12.887	11.795	13.262	12.781	15.901	15.0	13.154	13.141	17.113	16.214	12.176	18.203	21.852	21.64	20.833	24.348	22.323	22.003	20.268	20.955	21.661	20.832	22.384	24.466	24.466
EMBO J	12.643	13.171	13.973	13.999	12.459	10.698	10.456	10.492	10.053	10.086	8.662	8.295	8.993	10.124	9.205	9.822	10.748	10.434	9.643	9.792	10.557	11.227	9.889	11.598	14.012	14.012
