Journal	JournalFullName	ISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
ANNU REV BIOCHEM	ANNUAL REVIEW OF BIOCHEMISTRY	0066-4154	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.985	20.891	19.302	20.037	19.755	17.412	17.89	16.865	14.518	14.034	14.031	12.193	11.564	12.328	12.444	12.444
NAT GENET	NATURE GENETICS	1061-4036	13.779	13.779	13.779	13.779	13.779	13.779	13.779	13.779	13.779	13.779	13.779	14.505	15.586	17.7	17.584	17.402	16.173	15.919	16.807	16.456	16.652	16.807	16.922	19.017	19.278	19.278
ANNU REV IMMUNOL	ANNUAL REVIEW OF IMMUNOLOGY	0732-0582	26.653	26.653	26.653	26.653	26.653	26.653	26.653	26.653	26.653	26.653	26.653	24.671	21.37	25.132	23.427	23.191	23.737	23.711	20.366	20.551	16.988	14.749	12.645	13.651	14.985	14.985
CELL	CELL	0092-8674	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.188	18.871	20.124	20.591	20.554	19.272	20.124	19.361	18.967	20.061	19.509	20.369	20.841	23.88	26.598	26.598
NAT MED	NATURE MEDICINE	1078-8956	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.745	12.958	12.254	12.479	12.156	12.39	12.3	12.48	13.038	14.872	15.143	15.662	16.437	20.808	27.016	27.016
NEW ENGL J MED	NEW ENGLAND JOURNAL OF MEDICINE	0028-4793	17.864	17.864	17.864	17.864	17.864	17.864	17.864	17.864	17.864	17.864	17.864	18.763	19.868	21.349	21.304	21.642	22.412	24.284	25.797	27.769	29.423	30.593	31.319	37.239	48.835	48.835
NATURE	NATURE	0028-0836	16.996	16.996	16.996	16.996	16.996	16.996	16.996	16.996	16.996	16.996	16.996	17.279	18.062	19.306	20.373	20.801	22.184	21.96	22.261	22.976	22.535	22.396	21.96	23.887	25.568	25.568
SCIENCE	SCIENCE	0036-8075	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.539	16.286	16.58	16.818	17.525	17.697	17.698	17.885	18.048	19.162	19.907	20.001	20.309	22.107	23.986	23.986
ENDOCR REV	ENDOCRINE REVIEWS	0163-769X	9.23	9.23	9.23	9.23	9.23	9.23	9.23	9.23	9.23	9.23	9.23	8.339	8.674	7.863	8.159	7.821	8.571	7.574	6.412	6.358	6.051	5.911	5.814	7.265	7.542	7.542
ANNU REV NEUROSCI	ANNUAL REVIEW OF NEUROSCIENCE	0147-006X	17.191	17.191	17.191	17.191	17.191	17.191	17.191	17.191	17.191	17.191	17.191	18.915	19.291	16.82	16.169	17.03	15.009	13.624	11.517	11.953	10.168	9.802	8.554	8.785	8.716	8.716
