Journal	JournalFullName	ISSN	eISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
ANNU REV BIOCHEM	ANNUAL REVIEW OF BIOCHEMISTRY	0066-4154	1545-4509	40.782	39.0	37.111	43.429	31.639	36.278	37.647	31.538	33.456	36.525	31.19	30.016	29.875	29.742	34.317	27.681	26.534	30.283	21.407	19.939	20.154	26.922	25.787	23.643	27.258	16.6	16.6
ANNU REV BIOCHEM	ANNUAL REVIEW OF BIOCHEMISTRY	0066-4154	1545-4509	40.782	39.0	37.111	43.429	31.639	36.278	37.647	31.538	33.456	36.525	31.19	30.016	29.875	29.742	34.317	27.681	26.534	30.283	21.407	19.939	20.154	26.922	25.787	23.643	27.258	16.6	16.6
NAT GENET	NATURE GENETICS	1061-4036	1546-1718	38.854	40.361	30.693	30.91	29.6	26.711	26.494	24.695	25.797	24.176	25.556	30.259	34.284	36.377	35.532	35.209	29.648	29.352	31.616	27.959	27.125	25.455	27.603	38.33	41.307	30.8	30.8
ANNU REV IMMUNOL	ANNUAL REVIEW OF IMMUNOLOGY	0732-0582	1545-3278	37.796	42.929	47.564	50.34	46.233	54.455	52.28	52.431	47.4	47.237	47.981	41.059	37.902	49.271	52.761	36.556	41.392	39.327	35.543	28.396	22.714	21.429	19.9	28.527	32.481	29.7	29.7
ANNU REV IMMUNOL	ANNUAL REVIEW OF IMMUNOLOGY	0732-0582	1545-3278	37.796	42.929	47.564	50.34	46.233	54.455	52.28	52.431	47.4	47.237	47.981	41.059	37.902	49.271	52.761	36.556	41.392	39.327	35.543	28.396	22.714	21.429	19.9	28.527	32.481	29.7	29.7
CELL	CELL	0092-8674	1097-4172	37.297	38.686	36.242	32.44	29.219	27.254	26.626	28.389	29.431	29.194	29.887	31.253	31.152	32.406	32.403	31.957	33.116	32.242	28.71	30.41	31.398	36.216	38.637	41.582	66.85	64.5	64.5
NAT MED	NATURE MEDICINE	1078-8956	1546-170X	28.114	27.93	26.584	27.905	27.906	28.74	30.55	31.223	28.878	28.588	26.382	27.553	27.136	25.43	22.462	24.302	28.054	28.223	30.357	29.886	32.621	30.641	36.13	53.44	87.241	82.9	82.9
NEW ENGL J MED	NEW ENGLAND JOURNAL OF MEDICINE	0028-4793	1533-4406	27.766	28.66	28.857	29.512	29.065	31.736	34.833	38.57	44.016	51.296	52.589	50.017	47.05	53.486	53.298	51.658	54.42	55.873	59.558	72.406	79.258	70.67	74.699	91.245	176.079	158.5	158.5
NATURE	NATURE	0028-0836	1476-4687	27.368	28.833	29.491	25.814	27.955	30.432	30.979	32.182	29.273	26.681	28.751	31.434	34.48	36.104	36.28	38.597	42.351	41.456	38.138	40.137	41.577	43.07	42.778	49.962	69.504	64.8	64.8
SCIENCE	SCIENCE	0036-8075	1095-9203	24.676	24.386	24.595	23.872	23.329	26.682	29.781	31.853	30.927	30.028	26.372	28.103	29.747	31.377	31.201	31.027	31.477	33.611	34.661	37.205	41.058	41.037	41.845	47.728	63.714	56.9	56.9
ENDOCR REV	ENDOCRINE REVIEWS	0163-769X	1945-7189	23.017	21.017	20.25	19.524	26.456	21.643	17.324	18.784	22.538	23.901	18.493	18.562	19.761	22.469	19.929	14.873	19.358	21.059	14.898	15.745	15.545	15.167	14.661	19.871	25.261	20.3	20.3
ANNU REV NEUROSCI	ANNUAL REVIEW OF NEUROSCIENCE	0147-006X	1545-4126	21.952	23.023	22.605	26.676	27.152	24.091	30.167	23.143	24.184	28.533	26.077	26.405	24.822	26.756	25.737	20.614	22.66	19.32	14.265	15.63	14.675	12.043	12.547	12.449	15.553	13.9	13.9
ANNU REV NEUROSCI	ANNUAL REVIEW OF NEUROSCIENCE	0147-006X	1545-4126	21.952	23.023	22.605	26.676	27.152	24.091	30.167	23.143	24.184	28.533	26.077	26.405	24.822	26.756	25.737	20.614	22.66	19.32	14.265	15.63	14.675	12.043	12.547	12.449	15.553	13.9	13.9
IMMUNITY	IMMUNITY	1074-7613	1097-4180	20.82	20.518	20.563	21.083	18.866	17.468	16.016	15.448	15.156	18.306	19.266	20.579	20.589	24.221	21.637	19.795	19.748	21.561	24.082	22.845	19.734	21.522	22.553	31.745	43.474	32.4	32.4
PHARMACOL REV	PHARMACOLOGICAL REVIEWS	0031-6997	1521-0081	19.303	14.781	15.421	25.381	23.825	26.568	27.067	22.837	15.689	16.854	18.823	21.936	17.0	18.861	20.225	22.345	18.551	17.099	18.393	17.893	18.964	18.886	17.395	25.468	18.923	21.1	21.1
PHYSIOL REV	PHYSIOLOGICAL REVIEWS	0031-9333	1522-1210	19.259	23.656	23.953	27.677	30.061	26.532	36.831	33.918	28.721	31.441	29.6	35.0	37.726	28.417	26.866	30.174	29.041	27.324	30.924	27.312	24.014	24.25	25.588	37.312	46.5	33.6	33.6
ANNU REV CELL DEV BI	ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY	1081-0706	1530-8995	19.0	21.386	26.263	26.3	27.106	22.87	22.638	17.804	23.69	26.576	23.545	22.731	19.571	14.078	15.836	17.983	20.241	16.66	12.755	14.917	9.032	10.833	14.667	13.827	11.902	11.3	11.3
