Full title,Abbreviation,Country,SCIE,SSCI,AHCI,ESCI
1616-ANUARIO DE LITERATURA COMPARADA,1616-ANU LIT COMP,SPAIN,,,,X
20 ET 21-REVUE D HISTOIRE,20 21 REV HIST,FRANCE,,,X,
2D MATERIALS,2D MATER,ENGLAND,X,,,
3 BIOTECH,3 BIOTECH,GERMANY,X,,,
3D PRINTING AND ADDITIVE MANUFACTURING,3D PRINT ADDIT MANUF,UNITED STATES,X,,,
3D PRINTING IN MEDICINE,3D PRINT MED,ENGLAND,,,,X
3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES,3L-LANG LINGUIST LIT,MALAYSIA,,,,X
452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,452 F-REV TEOR LIT L,SPAIN,,,,X
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,4OR-Q J OPER RES,GERMANY,X,,,
A & A PRACTICE,A A PRACT,UNITED STATES,,,,X
A + U-ARCHITECTURE AND URBANISM,A U-ARCHIT URBAN,JAPAN,,,X,
A&C-REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL,A C-REV DIREITO ADM,BRAZIL,,,,X
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,AAA-ARB ANGLIST AM,GERMANY,,,X,
AACE CLINICAL CASE REPORTS,AACE CLIN CASE REP,UNITED STATES,,,,X
AACE ENDOCRINOLOGY AND DIABETES,AACE ENDOCRIN DIABET,UNITED STATES,,,,X
AACN ADVANCED CRITICAL CARE,AACN ADV CRIT CARE,UNITED STATES,,,,X
AAPG BULLETIN,AAPG BULL,UNITED STATES,X,,,
AAPPS BULLETIN,AAPPS B,SOUTH KOREA,,,,X
AAPS JOURNAL,AAPS J,UNITED STATES,X,,,
AAPS PHARMSCITECH,AAPS PHARMSCITECH,UNITED STATES,X,,,
AATCC JOURNAL OF RESEARCH,AATCC J RES,UNITED STATES,X,,,
