Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
2D Materials,2D MATER,2053-1583,"9,244",7.103,6.804,8.161,2.404,198,3.5,6.1,0.02242,2.17,93.94,78.657,4.69923
3 Biotech,3 BIOTECH,2190-572X,"6,624",2.406,2.284,3.203,0.542,548,3.6,8.1,0.00822,0.469,91.06,29.874,1.72394
3D Printing and Additive Manufacturing,3D PRINT ADDIT MANUF,2329-7662,"1,123",5.449,5.304,5.48,1.051,39,4,5.1,0.00167,1.068,100,72.246,0.35032
4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,1619-4500,678,1.545,1.424,2.176,0.477,44,9.6,10.7,0.00068,0.783,97.73,25.595,0.14365
AAPG BULLETIN,AAPG BULL,0149-1423,"18,433",3.529,3.393,4.438,1.233,90,18.6,13,0.00498,1.089,100,65.578,1.04508
AAPS Journal,AAPS J,1550-7416,"7,616",4.009,3.777,4.743,0.913,126,7.1,7.9,0.00672,1.009,87.3,60.545,1.40904
AAPS PHARMSCITECH,AAPS PHARMSCITECH,1530-9932,"10,553",3.246,3.02,3.473,0.782,284,6.7,7.2,0.00627,0.463,91.2,46.364,1.31397
AATCC Journal of Research,AATCC J RES,2330-5517,193,1.127,1.095,1.029,0.176,34,3.6,8.7,0.00023,0.17,97.06,46,0.05011
AATCC REVIEW,AATCC REV,1532-8813,173,0.111,0.111,0.3,0,8,15,Not Available,0.00002,0.061,100,3.025,0.00528
Abacus-A Journal of Accounting Finance and Business Studies,ABACUS,0001-3072,"1,142",2.378,2.244,2.667,0.28,25,11.5,11.9,0.0007,0.616,100,47.685,0.14759
Abdominal Radiology,ABDOM RADIOL,2366-004X,"4,221",3.039,2.611,2.965,0.732,609,2.5,7.1,0.00904,0.69,82.43,54.851,1.89434
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,0025-5858,589,0.382,0.382,0.473,0,15,49.8,23.9,0.00052,0.565,100,5,0.11094
Academia-Revista Latinoamericana de Administracion,ACAD-REV LATINOAM AD,1012-8255,338,1.108,0.862,1.255,0.472,36,4.9,11.1,0.0002,0.136,91.67,5.87,0.04247
ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,1069-6563,"11,785",3.451,3.152,3.891,2.706,180,9.8,5.8,0.01037,1.376,88.33,79.688,2.17346
ACADEMIC MEDICINE,ACAD MED,1040-2446,"22,828",6.893,5.742,7.564,3.04,251,7.7,7.2,0.0276,2.71,94.02,97.811,5.78315
Academic Pediatrics,ACAD PEDIATR,1876-2859,"4,049",3.107,2.755,3.955,0.959,145,4.9,7.1,0.00946,1.532,96.55,75.581,1.98303
ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,1042-9670,"2,592",3.293,2.737,3.229,1.13,108,5,6.6,0.00389,0.867,96.3,69.296,0.81516
ACADEMIC RADIOLOGY,ACAD RADIOL,1076-6332,"7,316",3.173,2.932,2.751,2.967,243,6.2,5.7,0.0088,0.834,91.77,58.582,1.84376
Academy of Management Annals,ACAD MANAG ANN,1941-6520,"6,851",16.438,16,23.832,4.806,31,7.2,11.3,0.01295,11.762,67.74,99.505,2.71512
ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,0001-4273,"54,951",10.194,9.838,15.873,3.352,71,15.9,13.2,0.03203,7.588,100,94.13,6.71152
Academy of Management Learning & Education,ACAD MANAG LEARN EDU,1537-260X,"4,039",4.373,3.667,6.807,2.857,21,9.9,11.2,0.00273,1.832,100,71.831,0.57301
Academy of Management Perspectives,ACAD MANAGE PERSPECT,1558-9080,"4,802",7.846,7.558,9.642,4.633,30,8.2,10.3,0.00451,3.651,100,85.477,0.94518
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,0363-7425,"47,985",12.638,12.29,18.362,5.6,35,21.1,14.4,0.01324,8.462,100,98.409,2.77485
ACAROLOGIA,ACAROLOGIA,0044-586X,"1,232",1.242,0.968,1.056,0.556,54,23,24,0.00071,0.261,98.15,38.725,0.14996
ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,0001-4575,"25,323",4.993,3.986,5.147,1.244,385,7.9,7.5,0.0204,1.186,97.4,90.699,4.27588
Accountability in Research-Policies and Quality Assurance,ACCOUNT RES,0898-9621,616,2.622,1.911,2.664,0.72,50,5.6,6.8,0.00071,0.636,94,65.625,0.15083
ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,0001-4788,"1,433",3.063,2.781,3.824,0.635,52,6.6,11.4,0.00159,0.977,100,66.204,0.3352
Accounting and Finance,ACCOUNT FINANC,0810-5391,"2,707",2.942,2.163,3.27,0.649,262,7.1,11.7,0.00163,0.494,97.33,64.352,0.34313
Accounting Auditing & Accountability Journal,ACCOUNT AUDIT ACCOUN,0951-3574,"6,360",4.117,3.342,5.34,0.796,98,9.9,10.1,0.00347,0.918,94.9,85.648,0.72905
Accounting Forum,ACCOUNT FORUM,0155-9982,"1,522",2.875,2.725,3.864,0.85,20,9.4,11.5,0.00074,0.654,100,61.574,0.15513
Accounting Horizons,ACCOUNT HORIZ,0888-7993,"2,877",2.162,2.029,3.149,0.333,36,12.9,11.5,0.00182,1.02,100,43.056,0.38304
ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,0361-3682,"9,127",4,3.681,5.914,1.048,42,14.4,12.3,0.00374,1.956,100,82.87,0.78474
ACCOUNTING REVIEW,ACCOUNT REV,0001-4826,"17,423",4.301,4,6.992,1.08,88,12.1,11.7,0.01476,3.695,100,89.352,3.09295
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,0001-4842,"82,124",22.384,22.267,22.732,6.008,245,6.7,6,0.09787,6.27,0,94.693,20.50547
ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,0949-1775,787,0.655,0.609,0.681,0.308,39,11.6,8.5,0.00029,0.122,97.44,4.419,0.06118
ACI MATERIALS JOURNAL,ACI MATER J,0889-325X,"7,106",1.802,1.653,2.177,0.289,128,17.4,9.9,0.00199,0.438,97.66,28.314,0.41693
ACI STRUCTURAL JOURNAL,ACI STRUCT J,0889-3241,"8,538",1.744,1.474,2.239,0.343,143,15.1,10.9,0.00319,0.513,100,24.47,0.67015
ACM COMPUTING SURVEYS,ACM COMPUT SURV,0360-0300,"10,790",10.282,10.035,10.024,1.326,135,5.9,6.2,0.01438,2.631,89.63,96.818,3.01354
ACM Journal on Computing and Cultural Heritage,ACM J COMPUT CULT HE,1556-4673,394,2.02,1.82,2.121,0.457,35,4.5,7.8,0.00071,0.559,100,30.804,0.14943
ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,1550-4832,685,1.42,1.37,1.885,0.195,41,5.4,6.5,0.00113,0.575,100,17.756,0.23815
ACM SIGCOMM Computer Communication Review,ACM SIGCOMM COMP COM,0146-4833,"6,381",1.256,1.085,2.621,0.3,30,9.6,4.8,0.00183,0.742,100,15.123,0.38395
ACM Transactions on Algorithms,ACM T ALGORITHMS,1549-6325,889,1.14,1.084,1.326,0.208,53,8.2,12.4,0.00223,0.918,100,36.651,0.46729
ACM Transactions on Applied Perception,ACM T APPL PERCEPT,1544-3558,613,1.55,1.475,1.627,0.313,16,10,11.5,0.00047,0.391,93.75,37.5,0.09964
ACM Transactions on Architecture and Code Optimization,ACM T ARCHIT CODE OP,1544-3566,651,0.919,0.839,1.086,0.053,38,5.9,6.4,0.00104,0.337,100,13.04,0.21909
ACM Transactions on Asian and Low-Resource Language Information Processing,ACM T ASIAN LOW-RESO,2375-4699,245,1.413,1.107,1.382,0.307,88,2.8,6.3,0.00044,0.275,100,18.929,0.09322
ACM Transactions on Autonomous and Adaptive Systems,ACM T AUTON ADAP SYS,1556-4665,391,0.971,0.943,1.374,0.571,7,6.8,8.6,0.00039,0.356,100,14.975,0.08227
ACM Transactions on Computational Logic,ACM T COMPUT LOG,1529-3785,382,0.625,0.571,0.635,0.118,34,9.7,13.5,0.00098,0.611,100,30.682,0.20557
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,0734-2071,"1,199",1.75,1.75,2.673,0.25,4,18,7.2,0.00051,1.015,100,54.091,0.10726
ACM Transactions on Computer-Human Interaction,ACM T COMPUT-HUM INT,1073-0516,"1,489",2.351,2.104,2.706,0.578,45,7.9,8.1,0.00135,0.731,93.33,46.142,0.28399
ACM Transactions on Computing Education,ACM T COMPUT EDUC,1946-6226,526,1.526,1.281,2.173,0.267,30,5.7,8.8,0.00051,0.391,90,30.682,0.10705
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,0362-5915,"1,306",1.086,1.029,2.636,0.529,17,13,8.5,0.00131,1.163,100,15.201,0.27591
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,1084-4309,736,0.964,0.861,1.137,0.279,61,5.5,7.5,0.00109,0.31,100,11.404,0.22857
ACM Transactions on Embedded Computing Systems,ACM T EMBED COMPUT S,1539-9087,"1,355",1.193,1.137,1.325,0.35,60,5.4,6.9,0.00234,0.43,100,17.938,0.49199
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,"21,561",5.414,3.533,6.445,0.351,271,7.7,6.6,0.02604,2.019,100,92.13,5.45662
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,1046-8188,"2,193",4.797,3.826,4.156,0.538,52,11.9,4.9,0.00183,0.997,96.15,79.321,0.38512
ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,2157-6904,"4,104",4.654,4.512,4.031,0.486,72,8.3,5.8,0.00463,1.268,100,75.293,0.97091
ACM Transactions on Interactive Intelligent Systems,ACM T INTERACT INTEL,2160-6455,722,2.137,1.941,4.288,0.333,30,4.6,8.3,0.00173,1.351,100,39.643,0.36423
ACM Transactions on Internet Technology,ACM T INTERNET TECHN,1533-5399,940,3.135,3.034,3.189,1.233,43,4.1,5.9,0.00144,0.78,97.67,66.435,0.30289
ACM Transactions on Knowledge Discovery from Data,ACM T KNOWL DISCOV D,1556-4681,"1,740",2.713,2.559,3.071,0.461,76,6.4,7.6,0.00224,0.857,98.68,59.182,0.46963
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,0098-3500,"4,371",1.704,1.662,2.942,0.421,38,16.4,12.6,0.00265,1.357,100,52.669,0.55604
ACM Transactions on Modeling and Computer Simulation,ACM T MODEL COMPUT S,1049-3301,722,1.075,1.038,1.218,0.364,22,12.3,10.7,0.00054,0.395,100,20.801,0.11347
