JournalFullName,ISSN,2022IF,2022AI,
20 ET 21-REVUE D HISTOIRE,2649-664X,0,0.017,
2D MATERIALS,2053-1583,5.5,1.64,
3 BIOTECH,2190-572X,2.8,0.423,
3C EMPRESA,2254-3376,0.3,0.038,
3C TECNOLOGIA,2254-4143,0.3,0.031,
3C TIC,2254-6529,0.4,0.036,
3D PRINTING AND ADDITIVE MANUFACTURING,2329-7662,3.1,0.766,
3D PRINTING IN MEDICINE,2365-6271,3.7,0,
3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES,0128-5157,0.7,0.166,
452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,2013-3294,0,0.066,
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,1619-4500,2,0.591,
A & A PRACTICE,2325-7237,0.5,0,
A&C-REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL,1516-3210,0.2,0.204,
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,0171-5410,0.1,0.237,
AACN ADVANCED CRITICAL CARE,1559-7768,2.2,0.505,
AAPG BULLETIN,0149-1423,3.5,0.969,
AAPS JOURNAL,1550-7416,4.5,0.876,
AAPS PHARMSCITECH,1530-9932,3.3,0.419,
AATCC JOURNAL OF RESEARCH,2330-5517,0.7,0.105,
AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE,2166-4072,0.4,0.495,
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,0001-3072,2.1,0.616,
ABAKOS,2316-9451,0,0.004,
ABANICO VETERINARIO,2007-4204,0.4,0.06,
ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY,0102-6720,1.5,0.278,
ABDOMINAL RADIOLOGY,2366-004X,2.4,0.648,
ABE JOURNAL,2275-6639,0.2,0.166,
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0025-5858,0.4,0.485,
ABIOTECH,2096-6326,3.6,0.702,
ABORIGINAL HISTORY,0314-8769,0.1,0.222,
ABORIGINAL POLICY STUDIES,1923-3299,0.5,0.365,
ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL,2014-8526,0.1,0.705,
ACADEMIA Y VIRTUALIDAD,2011-0731,0.8,0.128,
ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,1012-8255,1.2,0.196,
ACADEMIC EMERGENCY MEDICINE,1069-6563,4.4,1.459,
ACADEMIC JOURNAL OF MODERN PHILOLOGY,2299-7164,0,0.011,
ACADEMIC MEDICINE,1040-2446,7.4,2.819,
ACADEMIC PATHOLOGY,2374-2895,1,0.309,
ACADEMIC PEDIATRICS,1876-2859,3.1,1.403,
ACADEMIC PSYCHIATRY,1042-9670,2.5,0.859,
ACADEMIC RADIOLOGY,1076-6332,4.8,0.96,
ACADEMY OF MANAGEMENT ANNALS,1941-6520,21.2,14.179,
ACADEMY OF MANAGEMENT DISCOVERIES,2168-1007,6.3,4.36,
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,10.5,7.7,
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,1537-260X,4.8,1.824,
ACADEMY OF MANAGEMENT PERSPECTIVES,1558-9080,8.9,3.996,
ACADEMY OF MANAGEMENT REVIEW,0363-7425,16.4,8.937,
ACADEMY REVIEW,2074-5354,0.1,0,
ACADIENSIS,0044-5851,0.1,0.047,
ACAROLOGIA,0044-586X,1.1,0.324,
ACCESS TO JUSTICE IN EASTERN EUROPE,2663-0575,0.4,0.047,
ACCESS-ACCESS TO SCIENCE BUSINESS INNOVATION IN THE DIGITAL ECONOMY,2683-1007,0.5,0.073,
ACCIDENT ANALYSIS AND PREVENTION,0001-4575,5.9,1.245,
ACCIONES E INVESTIGACIONES SOCIALES,1132-192X,0,0.071,
ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY,0898-9621,3.4,0,
ACCOUNTING AND BUSINESS RESEARCH,0001-4788,1.7,0.861,
ACCOUNTING AND FINANCE,0810-5391,2.6,0.549,
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,0951-3574,4.2,1.096,
ACCOUNTING ECONOMICS AND LAW-A CONVIVIUM,2194-6051,1.4,0.162,
ACCOUNTING EDUCATION,0963-9284,3.2,0.468,
ACCOUNTING FORUM,0155-9982,3.1,0.681,
ACCOUNTING HISTORIANS JOURNAL,0148-4184,0.3,0.113,
ACCOUNTING HISTORY,1032-3732,1,0.298,
ACCOUNTING HISTORY REVIEW,2155-2851,0.6,0.374,
ACCOUNTING HORIZONS,0888-7993,2.5,1.205,
ACCOUNTING IN EUROPE,1744-9480,2.8,0.377,
ACCOUNTING ORGANIZATIONS AND SOCIETY,0361-3682,4.7,2.153,
ACCOUNTING PERSPECTIVES,1911-382X,1.7,0.311,
ACCOUNTING RESEARCH JOURNAL,1030-9616,1.9,0.337,
ACCOUNTING REVIEW,0001-4826,4.1,3.507,
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,18.3,5.649,
ACCOUNTS OF MATERIALS RESEARCH,2643-6728,14.6,3.858,
ACCREDITATION AND QUALITY ASSURANCE,0949-1775,0.9,0.131,
ACE-ARCHITECTURE CITY AND ENVIRONMENT,1886-4805,0.6,0.089,
ACG CASE REPORTS JOURNAL,2326-3253,0.7,0.195,
ACI MATERIALS JOURNAL,0889-325X,1.7,0.419,
ACI STRUCTURAL JOURNAL,0889-3241,1.8,0.404,
ACM COMMUNICATIONS IN COMPUTER ALGEBRA,1932-2232,0.1,0.104,
ACM COMPUTING SURVEYS,0360-0300,16.6,4.038,
ACM JOURNAL OF DATA AND INFORMATION QUALITY,1936-1955,2.1,0.397,
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,1556-4673,2.4,0.504,
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,1550-4832,2.2,0.461,
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,0146-4833,2.8,0.508,
ACM SIGECOM EXCHANGES,1551-9031,1,1.031,
ACM TRANSACTIONS ON ACCESSIBLE COMPUTING,1936-7228,2.4,0.386,
ACM TRANSACTIONS ON ALGORITHMS,1549-6325,1.3,1.239,
ACM TRANSACTIONS ON APPLIED PERCEPTION,1544-3558,1.6,0.518,
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,1544-3566,1.6,0.406,
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,2375-4699,2,0.273,
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,1556-4665,2.7,0.4,
ACM TRANSACTIONS ON COMPUTATION THEORY,1942-3454,0.7,0.517,
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,1529-3785,0.5,0.434,
ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1.5,0.325,
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,1073-0516,3.7,0.846,
ACM TRANSACTIONS ON COMPUTING EDUCATION,1946-6226,2.4,0.568,
ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS,2378-962X,2.3,0.597,
ACM TRANSACTIONS ON DATABASE SYSTEMS,0362-5915,1.8,1.334,
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,1084-4309,1.4,0.264,
ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION,2167-8375,1.2,1.012,
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,1539-9087,2,0.44,
ACM TRANSACTIONS ON GRAPHICS,0730-0301,6.2,2.439,
ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION,2573-9522,5.1,0.801,
ACM TRANSACTIONS ON INFORMATION SYSTEMS,1046-8188,5.6,1.166,
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,2157-6904,5,2.698,
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,2160-6455,3.4,0.787,
ACM TRANSACTIONS ON INTERNET OF THINGS,2691-1914,2.7,0.525,
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,1533-5399,5.3,0.833,
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,1556-4681,3.6,0.895,
ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS,2158-656X,2.5,0.639,
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,2.7,1.287,
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,1049-3301,0.9,0.443,
ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS,2376-3639,0.6,0.457,
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,1551-6857,5.1,1.029,
ACM TRANSACTIONS ON PARALLEL COMPUTING,2329-4949,1.6,0.555,
ACM TRANSACTIONS ON PRIVACY AND SECURITY,2471-2566,2.3,0.679,
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925,1.3,0.754,
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,1936-7406,2.3,0.595,
ACM TRANSACTIONS ON SENSOR NETWORKS,1550-4859,4.1,0.756,
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,4.4,1.016,
ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS,2374-0353,1.9,0.435,
ACM TRANSACTIONS ON STORAGE,1553-3077,1.7,0.353,
ACM TRANSACTIONS ON THE WEB,1559-1131,3.5,0.581,
ACME-ANNALI DELLA FACOLTA DI STUDI UMANISTICI DELL UNIVERSITA DEGLI STUDI DI MILANO,0001-494X,0,0.03,
ACOUSTICAL PHYSICS,1063-7710,0.8,0.149,
ACOUSTICAL SCIENCE AND TECHNOLOGY,1346-3969,0.7,0.122,
ACOUSTICS,2624-599X,2.1,0.5,
ACOUSTICS AUSTRALIA,0814-6039,1.7,0.357,
ACQUE SOTTERRANEE-ITALIAN JOURNAL OF GROUNDWATER,1828-454X,0.8,0.093,
ACR OPEN RHEUMATOLOGY,2578-5745,3.4,0,
ACROSS LANGUAGES AND CULTURES,1585-1923,0.7,0.584,
ACS AGRICULTURAL SCIENCE & TECHNOLOGY,2692-1952,2.5,0.337,
ACS APPLIED BIO MATERIALS,2576-6422,4.7,0.695,
ACS APPLIED ELECTRONIC MATERIALS,2637-6113,4.7,0.918,
ACS APPLIED ENERGY MATERIALS,2574-0962,6.4,1.217,
ACS APPLIED MATERIALS & INTERFACES,1944-8244,9.5,1.655,
ACS APPLIED NANO MATERIALS,2574-0970,5.9,0.969,
ACS APPLIED POLYMER MATERIALS,2637-6105,5,0.816,
ACS BIOMATERIALS SCIENCE & ENGINEERING,2373-9878,5.8,0.834,
ACS CATALYSIS,2155-5435,12.9,3.147,
ACS CENTRAL SCIENCE,2374-7943,18.2,4.859,
ACS CHEMICAL BIOLOGY,1554-8929,4,1.373,
ACS CHEMICAL HEALTH & SAFETY,1878-0504,3,0.475,
ACS CHEMICAL NEUROSCIENCE,1948-7193,5,1.032,
ACS EARTH AND SPACE CHEMISTRY,2472-3452,3.4,0.918,
ACS ENERGY LETTERS,2380-8195,22,5.602,
ACS ES&T ENGINEERING,2690-0645,7.1,1.31,
ACS ES&T WATER,2690-0637,5.3,0.899,
ACS FOOD SCIENCE & TECHNOLOGY,2692-1944,2.3,0.309,
ACS INFECTIOUS DISEASES,2373-8227,5.3,1.159,
ACS MACRO LETTERS,2161-1653,5.8,1.378,
ACS MATERIALS LETTERS,2639-4979,11.4,2.633,
ACS MEDICINAL CHEMISTRY LETTERS,1948-5875,4.2,0.996,
ACS NANO,1936-0851,17.1,3.701,
ACS OMEGA,2470-1343,4.1,0.622,
ACS PHARMACOLOGY & TRANSLATIONAL SCIENCE,2575-9108,6,1.586,
ACS PHOTONICS,2330-4022,7,1.893,
ACS POLYMERS AU,2694-2453,3.9,0.988,
ACS SENSORS,2379-3694,8.9,1.692,
ACS SUSTAINABLE CHEMISTRY & ENGINEERING,2168-0485,8.4,1.407,
ACS SYNTHETIC BIOLOGY,2161-5063,4.7,1.324,
ACSMS HEALTH & FITNESS JOURNAL,1091-5397,1.5,0.254,
ACTA ACUSTICA,2681-4617,1.4,0.351,
ACTA ADRIATICA,0001-5113,0.9,0.21,
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0906-4702,0.9,0.197,
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,0906-4710,1.6,0.257,
ACTA AGROBOTANICA,0065-0951,1.2,0.144,
ACTA ALIMENTARIA,0139-3006,1.1,0.125,
ACTA AMAZONICA,0044-5967,0.8,0.245,
ACTA ANAESTHESIOLOGICA BELGICA,0001-5164,0,0.028,
ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172,2.1,0.779,
ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,0353-5150,0.4,0.264,
ACTA ANGIOLOGICA,1234-950X,0.2,0.05,
ACTA APPLICANDAE MATHEMATICAE,0167-8019,1.6,0.663,
ACTA ARCHAEOLOGICA,0065-101X,0.8,0.73,
ACTA ARITHMETICA,0065-1036,0.7,0.613,
ACTA ASTRONAUTICA,0094-5765,3.5,0.648,
ACTA ASTRONOMICA,0001-5237,2.2,0.821,
ACTA BALNEOLOGICA,2082-1867,0.3,0.006,
ACTA BALTICO-SLAVICA,0065-1044,0,0.088,
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,1672-9145,3.7,0.632,
ACTA BIOCHIMICA POLONICA,0001-527X,1.7,0.298,
ACTA BIOCLINICA,2244-8136,0.1,0.011,
ACTA BIOETHICA,0717-5906,0.4,0.077,
ACTA BIOLOGICA COLOMBIANA,0120-548X,0.6,0.116,
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0001-5296,1.3,0.1,
ACTA BIOMATERIALIA,1742-7061,9.7,1.499,
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0325-2957,0.1,0.019,
ACTA BIOTHEORETICA,0001-5342,1.3,0.277,
ACTA BOREALIA,0800-3831,1,0.374,
ACTA BOTANICA BRASILICA,0102-3306,1.1,0.337,
ACTA BOTANICA CROATICA,0365-0588,1.3,0.246,
ACTA BOTANICA MEXICANA,2448-7589,0.8,0.171,
ACTA BRASILIENSIS,2526-432X,0.4,0.096,
ACTA CARDIOLOGICA,0001-5385,1.6,0.366,
ACTA CARDIOLOGICA SINICA,1011-6842,1.9,0.337,
ACTA CARSOLOGICA,0583-6050,0.7,0.181,
ACTA CHEMICA IASI,2067-2438,0.5,0.07,
ACTA CHIMICA SINICA,0567-7351,2.5,0.237,
ACTA CHIMICA SLOVACA,1337-978X,0.8,0.099,
ACTA CHIMICA SLOVENICA,1318-0207,1.2,0.128,
ACTA CHIROPTEROLOGICA,1508-1109,1,0.28,
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,0001-5415,0.4,0.082,
ACTA CHIRURGICA BELGICA,0001-5458,0.8,0.231,
ACTA CHROMATOGRAPHICA,1233-2356,1.9,0.19,
ACTA CIRURGICA BRASILEIRA,0102-8650,1.1,0.195,
ACTA CLASSICA,0065-1141,0.2,0.196,
ACTA CLINICA BELGICA,1784-3286,1.6,0.345,
ACTA CLINICA CROATICA,0353-9466,0.6,0.215,
ACTA COLOMBIANA DE PSICOLOGIA,0123-9155,0.6,0.126,
ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,2053-2733,1.8,0.721,
ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,2052-5206,1.9,0.486,
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,2053-2296,0.8,0.116,
ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,2059-7983,2.2,3.966,
ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE,2056-9890,0.9,0.073,
ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,2053-230X,0.9,0.291,
ACTA CYBERNETICA,0324-721X,0.4,0.152,
ACTA CYTOLOGICA,0001-5547,1.8,0.521,
ACTA DERMATO-VENEREOLOGICA,0001-5555,3.6,1.11,
ACTA DERMATOVENEROLOGICA ALPINA PANNONICA ET ADRIATICA,1318-4458,1.2,0.23,
ACTA DERMATOVENEROLOGICA CROATICA,1330-027X,0.6,0.255,
ACTA DIABETOLOGICA,0940-5429,3.8,0.988,
ACTA ENDOCRINOLOGICA-BUCHAREST,1841-0987,1,0.193,
