Journal	JournalFullName	ISSN	2022IF	2022AI
19 CENTURY CONTEXTS	NINETEENTH-CENTURY CONTEXTS-AN INTERDISCIPLINARY JOURNAL	0890-5495	0.2	0.216
20 21 REV HIST	20 ET 21-REVUE D HISTOIRE	2649-664X	0.0	0.017
2D MATER	2D MATERIALS	2053-1583	5.5	1.64
3 BIOTECH	3 BIOTECH	2190-572X	2.8	0.423
3C EMPRESA	3C EMPRESA	2254-3376	0.3	0.038
3C TECNOL	3C TECNOLOGIA	2254-4143	0.3	0.031
3C TIC	3C TIC	2254-6529	0.4	0.036
3D PRINT ADDIT MANUF	3D PRINTING AND ADDITIVE MANUFACTURING	2329-7662	3.1	0.766
3D PRINT MED	3D PRINTING IN MEDICINE	2365-6271	3.7	0.0
3L-LANG LINGUIST LIT	3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES	0128-5157	0.7	0.166
452 F-REV TEOR LIT L	452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA	2013-3294	0.0	0.066
4OR-Q J OPER RES	4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH	1619-4500	2.0	0.591
A A PRACT	A & A PRACTICE	2325-7237	0.5	0.0
A C-REV DIREITO ADM	A&C-REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL	1516-3210	0.2	0.204
AAA-ARB ANGLIST AM	AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK	0171-5410	0.1	0.237
AACN ADV CRIT CARE	AACN ADVANCED CRITICAL CARE	1559-7768	2.2	0.505
AAPG BULL	AAPG BULLETIN	0149-1423	3.5	0.969
AAPS J	AAPS JOURNAL	1550-7416	4.5	0.876
AAPS PHARMSCITECH	AAPS PHARMSCITECH	1530-9932	3.3	0.419
AATCC J RES	AATCC JOURNAL OF RESEARCH	2330-5517	0.7	0.105
AB IMP	AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE	2166-4072	0.4	0.495
ABACUS	ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES	0001-3072	2.1	0.616
ABAKOS	ABAKOS	2316-9451	0.0	0.004
ABANICO VET	ABANICO VETERINARIO	2007-4204	0.4	0.06
ABCD-ARQ BRAS CIR DI	ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY	0102-6720	1.5	0.278
ABDOM RADIOL	ABDOMINAL RADIOLOGY	2366-004X	2.4	0.648
ABE J	ABE JOURNAL	2275-6639	0.2	0.166
ABH MATH SEM HAMBURG	ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG	0025-5858	0.4	0.485
ABIOTECH	ABIOTECH	2096-6326	3.6	0.702
ABORIG HIST	ABORIGINAL HISTORY	0314-8769	0.1	0.222
ABORIG POLICY STUD	ABORIGINAL POLICY STUDIES	1923-3299	0.5	0.365
ABRIU-ESTUD TEXTUAL	ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL	2014-8526	0.1	0.705
ACAD EMERG MED	ACADEMIC EMERGENCY MEDICINE	1069-6563	4.4	1.459
ACAD J MOD PHILOL	ACADEMIC JOURNAL OF MODERN PHILOLOGY	2299-7164	0.0	0.011
ACAD MANAG ANN	ACADEMY OF MANAGEMENT ANNALS	1941-6520	21.2	14.179
ACAD MANAG DISCOV	ACADEMY OF MANAGEMENT DISCOVERIES	2168-1007	6.3	4.36
ACAD MANAG LEARN EDU	ACADEMY OF MANAGEMENT LEARNING & EDUCATION	1537-260X	4.8	1.824
ACAD MANAGE J	ACADEMY OF MANAGEMENT JOURNAL	0001-4273	10.5	7.7
ACAD MANAGE PERSPECT	ACADEMY OF MANAGEMENT PERSPECTIVES	1558-9080	8.9	3.996
ACAD MANAGE REV	ACADEMY OF MANAGEMENT REVIEW	0363-7425	16.4	8.937
ACAD MED	ACADEMIC MEDICINE	1040-2446	7.4	2.819
ACAD PATHOL	ACADEMIC PATHOLOGY	2374-2895	1.0	0.309
ACAD PEDIATR	ACADEMIC PEDIATRICS	1876-2859	3.1	1.403
ACAD PSYCHIATR	ACADEMIC PSYCHIATRY	1042-9670	2.5	0.859
ACAD RADIOL	ACADEMIC RADIOLOGY	1076-6332	4.8	0.96
ACAD REV	ACADEMY REVIEW	2074-5354	0.1	0.0
ACAD VIRTUALIDAD	ACADEMIA Y VIRTUALIDAD	2011-0731	0.8	0.128
ACADIENSIS	ACADIENSIS	0044-5851	0.1	0.047
ACAD-REV LATINOAM AD	ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION	1012-8255	1.2	0.196
ACAROLOGIA	ACAROLOGIA	0044-586X	1.1	0.324
ACCESS JUSTICE E EUR	ACCESS TO JUSTICE IN EASTERN EUROPE	2663-0575	0.4	0.047
ACCESS-ACCESS SCI BU	ACCESS-ACCESS TO SCIENCE BUSINESS INNOVATION IN THE DIGITAL ECONOMY	2683-1007	0.5	0.073
ACCIDENT ANAL PREV	ACCIDENT ANALYSIS AND PREVENTION	0001-4575	5.9	1.245
ACCIONES INVEST SOC	ACCIONES E INVESTIGACIONES SOCIALES	1132-192X	0.0	0.071
ACCOUNT AUDIT ACCOUN	ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL	0951-3574	4.2	1.096
ACCOUNT BUS RES	ACCOUNTING AND BUSINESS RESEARCH	0001-4788	1.7	0.861
ACCOUNT ECON LAW	ACCOUNTING ECONOMICS AND LAW-A CONVIVIUM	2194-6051	1.4	0.162
ACCOUNT EDUC	ACCOUNTING EDUCATION	0963-9284	3.2	0.468
ACCOUNT EUR	ACCOUNTING IN EUROPE	1744-9480	2.8	0.377
ACCOUNT FINANC	ACCOUNTING AND FINANCE	0810-5391	2.6	0.549
ACCOUNT FORUM	ACCOUNTING FORUM	0155-9982	3.1	0.681
ACCOUNT HIST	ACCOUNTING HISTORY	1032-3732	1.0	0.298
ACCOUNT HIST J	ACCOUNTING HISTORIANS JOURNAL	0148-4184	0.3	0.113
ACCOUNT HIST REV	ACCOUNTING HISTORY REVIEW	2155-2851	0.6	0.374
ACCOUNT HORIZ	ACCOUNTING HORIZONS	0888-7993	2.5	1.205
ACCOUNT ORG SOC	ACCOUNTING ORGANIZATIONS AND SOCIETY	0361-3682	4.7	2.153
ACCOUNT PERSPECT	ACCOUNTING PERSPECTIVES	1911-382X	1.7	0.311
ACCOUNT RES J	ACCOUNTING RESEARCH JOURNAL	1030-9616	1.9	0.337
ACCOUNT REV	ACCOUNTING REVIEW	0001-4826	4.1	3.507
ACCOUNTS CHEM RES	ACCOUNTS OF CHEMICAL RESEARCH	0001-4842	18.3	5.649
ACCOUNTS MATER RES	ACCOUNTS OF MATERIALS RESEARCH	2643-6728	14.6	3.858
ACCREDIT QUAL ASSUR	ACCREDITATION AND QUALITY ASSURANCE	0949-1775	0.9	0.131
ACE-ARCHIT CITY ENVI	ACE-ARCHITECTURE CITY AND ENVIRONMENT	1886-4805	0.6	0.089
ACG CASE REP J	ACG CASE REPORTS JOURNAL	2326-3253	0.7	0.195
ACI MATER J	ACI MATERIALS JOURNAL	0889-325X	1.7	0.419
ACI STRUCT J	ACI STRUCTURAL JOURNAL	0889-3241	1.8	0.404
ACM COMMUN COMPUT AL	ACM COMMUNICATIONS IN COMPUTER ALGEBRA	1932-2232	0.1	0.104
ACM COMPUT SURV	ACM COMPUTING SURVEYS	0360-0300	16.6	4.038
ACM J COMPUT CULT HE	ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE	1556-4673	2.4	0.504
ACM J DATA INF QUAL	ACM JOURNAL OF DATA AND INFORMATION QUALITY	1936-1955	2.1	0.397
ACM J EMERG TECH COM	ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS	1550-4832	2.2	0.461
ACM SIGCOMM COMP COM	ACM SIGCOMM COMPUTER COMMUNICATION REVIEW	0146-4833	2.8	0.508
ACM SIGECOM EXCH	ACM SIGECOM EXCHANGES	1551-9031	1.0	1.031
ACM T ACCESS COMPUT	ACM TRANSACTIONS ON ACCESSIBLE COMPUTING	1936-7228	2.4	0.386
ACM T ALGORITHMS	ACM TRANSACTIONS ON ALGORITHMS	1549-6325	1.3	1.239
ACM T APPL PERCEPT	ACM TRANSACTIONS ON APPLIED PERCEPTION	1544-3558	1.6	0.518
ACM T ARCHIT CODE OP	ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION	1544-3566	1.6	0.406
ACM T ASIAN LOW-RESO	ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING	2375-4699	2.0	0.273
ACM T AUTON ADAP SYS	ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS	1556-4665	2.7	0.4
ACM T COMPUT EDUC	ACM TRANSACTIONS ON COMPUTING EDUCATION	1946-6226	2.4	0.568
ACM T COMPUT LOG	ACM TRANSACTIONS ON COMPUTATIONAL LOGIC	1529-3785	0.5	0.434
ACM T COMPUT SYST	ACM TRANSACTIONS ON COMPUTER SYSTEMS	0734-2071	1.5	0.325
ACM T COMPUT THEORY	ACM TRANSACTIONS ON COMPUTATION THEORY	1942-3454	0.7	0.517
ACM T COMPUT-HUM INT	ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION	1073-0516	3.7	0.846
ACM T DATABASE SYST	ACM TRANSACTIONS ON DATABASE SYSTEMS	0362-5915	1.8	1.334
ACM T DES AUTOMAT EL	ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS	1084-4309	1.4	0.264
ACM T ECON COMPUT	ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION	2167-8375	1.2	1.012
ACM T EMBED COMPUT S	ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS	1539-9087	2.0	0.44
ACM T GRAPHIC	ACM TRANSACTIONS ON GRAPHICS	0730-0301	6.2	2.439
ACM T HUM-ROBOT INTE	ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION	2573-9522	5.1	0.801
ACM T INFORM SYST	ACM TRANSACTIONS ON INFORMATION SYSTEMS	1046-8188	5.6	1.166
ACM T INTEL SYST TEC	ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY	2157-6904	5.0	2.698
ACM T INTERACT INTEL	ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS	2160-6455	3.4	0.787
ACM T INTERNET TECHN	ACM TRANSACTIONS ON INTERNET TECHNOLOGY	1533-5399	5.3	0.833
ACM T INTERNET THING	ACM TRANSACTIONS ON INTERNET OF THINGS	2691-1914	2.7	0.525
ACM T KNOWL DISCOV D	ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA	1556-4681	3.6	0.895
ACM T MATH SOFTWARE	ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE	0098-3500	2.7	1.287
ACM T MODEL COMPUT S	ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION	1049-3301	0.9	0.443
ACM T MULTIM COMPUT	ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS	1551-6857	5.1	1.029
ACM T PRIV SECUR	ACM TRANSACTIONS ON PRIVACY AND SECURITY	2471-2566	2.3	0.679
ACM T PROGR LANG SYS	ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS	0164-0925	1.3	0.754
ACM T RECONFIG TECHN	ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS	1936-7406	2.3	0.595
ACM T SENSOR NETWORK	ACM TRANSACTIONS ON SENSOR NETWORKS	1550-4859	4.1	0.756
ACM T SOFTW ENG METH	ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY	1049-331X	4.4	1.016
ACM T STORAGE	ACM TRANSACTIONS ON STORAGE	1553-3077	1.7	0.353
ACM T WEB	ACM TRANSACTIONS ON THE WEB	1559-1131	3.5	0.581
ACM TRANS CYBER-PHYS	ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS	2378-962X	2.3	0.597
ACM TRANS MANAG INF	ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS	2158-656X	2.5	0.639
ACM TRANS MODELING P	ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS	2376-3639	0.6	0.457
ACM TRANS PARALLEL C	ACM TRANSACTIONS ON PARALLEL COMPUTING	2329-4949	1.6	0.555
ACM TRANS SPAT ALGOR	ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS	2374-0353	1.9	0.435
ACME-ANN FAC STUDI U	ACME-ANNALI DELLA FACOLTA DI STUDI UMANISTICI DELL UNIVERSITA DEGLI STUDI DI MILANO	0001-494X	0.0	0.03
ACOUST AUST	ACOUSTICS AUSTRALIA	0814-6039	1.7	0.357
ACOUST PHYS+	ACOUSTICAL PHYSICS	1063-7710	0.8	0.149
ACOUST SCI TECHNOL	ACOUSTICAL SCIENCE AND TECHNOLOGY	1346-3969	0.7	0.122
ACOUSTICS-BASEL	ACOUSTICS	2624-599X	2.1	0.5
ACQUE SOTTER	ACQUE SOTTERRANEE-ITALIAN JOURNAL OF GROUNDWATER	1828-454X	0.8	0.093
ACR OPEN RHEUMATOL	ACR OPEN RHEUMATOLOGY	2578-5745	3.4	0.0
ACROSS LANG CULT	ACROSS LANGUAGES AND CULTURES	1585-1923	0.7	0.584
ACS AGR SCI TECHNOL	ACS AGRICULTURAL SCIENCE & TECHNOLOGY	2692-1952	2.5	0.337
ACS APPL BIO MATER	ACS APPLIED BIO MATERIALS	2576-6422	4.7	0.695
ACS APPL ELECTRON MA	ACS APPLIED ELECTRONIC MATERIALS	2637-6113	4.7	0.918
ACS APPL ENERG MATER	ACS APPLIED ENERGY MATERIALS	2574-0962	6.4	1.217
ACS APPL MATER INTER	ACS APPLIED MATERIALS & INTERFACES	1944-8244	9.5	1.655
ACS APPL NANO MATER	ACS APPLIED NANO MATERIALS	2574-0970	5.9	0.969
ACS APPL POLYM MATER	ACS APPLIED POLYMER MATERIALS	2637-6105	5.0	0.816
ACS BIOMATER SCI ENG	ACS BIOMATERIALS SCIENCE & ENGINEERING	2373-9878	5.8	0.834
ACS CATAL	ACS CATALYSIS	2155-5435	12.9	3.147
ACS CENTRAL SCI	ACS CENTRAL SCIENCE	2374-7943	18.2	4.859
ACS CHEM BIOL	ACS CHEMICAL BIOLOGY	1554-8929	4.0	1.373
ACS CHEM HEALTH SAFE	ACS CHEMICAL HEALTH & SAFETY	1878-0504	3.0	0.475
ACS CHEM NEUROSCI	ACS CHEMICAL NEUROSCIENCE	1948-7193	5.0	1.032
ACS EARTH SPACE CHEM	ACS EARTH AND SPACE CHEMISTRY	2472-3452	3.4	0.918
ACS ENERGY LETT	ACS ENERGY LETTERS	2380-8195	22.0	5.602
ACS EST ENG	ACS ES&T ENGINEERING	2690-0645	7.1	1.31
ACS EST WATER	ACS ES&T WATER	2690-0637	5.3	0.899
ACS FOOD SCI TECHNOL	ACS FOOD SCIENCE & TECHNOLOGY	2692-1944	2.3	0.309
ACS INFECT DIS	ACS INFECTIOUS DISEASES	2373-8227	5.3	1.159
ACS MACRO LETT	ACS MACRO LETTERS	2161-1653	5.8	1.378
ACS MATER LETT	ACS MATERIALS LETTERS	2639-4979	11.4	2.633
ACS MED CHEM LETT	ACS MEDICINAL CHEMISTRY LETTERS	1948-5875	4.2	0.996
ACS NANO	ACS NANO	1936-0851	17.1	3.701
ACS OMEGA	ACS OMEGA	2470-1343	4.1	0.622
ACS PHARMACOL TRANSL	ACS PHARMACOLOGY & TRANSLATIONAL SCIENCE	2575-9108	6.0	1.586
ACS PHOTONICS	ACS PHOTONICS	2330-4022	7.0	1.893
ACS POLYM AU	ACS POLYMERS AU	2694-2453	3.9	0.988
ACS SENSORS	ACS SENSORS	2379-3694	8.9	1.692
ACS SUSTAIN CHEM ENG	ACS SUSTAINABLE CHEMISTRY & ENGINEERING	2168-0485	8.4	1.407
ACS SYNTH BIOL	ACS SYNTHETIC BIOLOGY	2161-5063	4.7	1.324
ACSMS HEALTH FIT J	ACSMS HEALTH & FITNESS JOURNAL	1091-5397	1.5	0.254
ACT ADAPT AGING	ACTIVITIES ADAPTATION & AGING	0192-4788	2.8	0.288
ACT LEARN HIGH EDUC	ACTIVE LEARNING IN HIGHER EDUCATION	1469-7874	5.0	1.226
ACT NERV SUPER REDIV	ACTIVITAS NERVOSA SUPERIOR REDIVIVA	1337-933X	0.4	0.034
ACT PASSIV ELECTRON	ACTIVE AND PASSIVE ELECTRONIC COMPONENTS	0882-7516	0.4	0.122
