Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
1,2D Materials,2D MATER,2053-1583,"6,616",7.14,6.794,7.643,1.518,220,2.8,5.4,0.02528,2.439,93.64,85.51,3.08443
2,3 Biotech,3 BIOTECH,2190-572X,"3,856",1.798,1.665,2.389,0.306,454,3.2,8.5,0.00622,0.373,91.85,25.962,0.75998
3,3D Printing and Additive Manufacturing,3D PRINT ADDIT MANUF,2329-7662,661,3.579,3.316,4.324,1.128,39,3.6,5,0.00165,0.925,94.87,68.019,0.20236
4,4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,1619-4500,455,1.143,1.114,1.471,0.25,16,9.2,10.3,0.00073,0.673,100,23.494,0.09013
5,AAPG BULLETIN,AAPG BULL,0149-1423,"15,623",2.952,2.702,3.892,0.824,108,17.9,13.9,0.00604,1.103,99.07,70.25,0.7377
6,AAPS Journal,AAPS J,1550-7416,"6,238",3.737,3.51,4.11,0.616,112,6.5,7.5,0.00772,0.92,95.54,73.519,0.94238
7,AAPS PHARMSCITECH,AAPS PHARMSCITECH,1530-9932,"7,427",2.401,2.096,2.703,0.7,350,7,7.6,0.00564,0.398,89.14,39.815,0.68874
8,AATCC Journal of Research,AATCC J RES,2330-5517,105,0.604,0.5,0.779,0.256,39,3.4,9.3,0.0002,0.135,94.87,31.25,0.02536
9,AATCC REVIEW,AATCC REV,1532-8813,157,0.5,0.5,0.268,1,1,13.4,Not Available,0.00003,0.043,100,13.371,0.00368
10,Abacus-A Journal of Accounting Finance and Business Studies,ABACUS,0001-3072,876,1.975,1.75,1.804,0.579,19,10.9,10.1,0.00051,0.383,100,62.5,0.06313
11,Abdominal Radiology,ABDOM RADIOL,2366-004X,"2,280",2.429,2.119,2.317,0.565,382,2.2,7,0.00666,0.593,85.86,53.008,0.81346
12,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,0025-5858,563,0.471,0.451,0.478,0.231,13,48.9,20.2,0.00064,0.551,100,13.735,0.0781
13,Academia-Revista Latinoamericana de Administracion,ACAD-REV LATINOAM AD,1012-8255,206,0.739,0.522,0.963,0.103,29,5.1,11,0.00011,0.068,100,6.554,0.0142
14,ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,1069-6563,"9,597",3.064,2.831,3.341,0.722,126,9.7,6.5,0.01286,1.306,88.1,82.258,1.56963
15,ACADEMIC MEDICINE,ACAD MED,1040-2446,"17,605",5.354,4.267,6.75,1.642,215,7.9,6.7,0.02886,2.364,90.7,98.165,3.52191
16,Academic Pediatrics,ACAD PEDIATR,1876-2859,"2,947",2.81,2.631,3.216,0.619,126,4.7,7.2,0.00957,1.33,98.41,83.984,1.16757
17,ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,1042-9670,"1,831",2.148,1.858,2.049,0.718,71,5.5,6.5,0.00351,0.599,95.77,63.319,0.42901
18,ACADEMIC RADIOLOGY,ACAD RADIOL,1076-6332,"5,739",2.488,2.356,2.379,1,200,7,6.5,0.00862,0.696,96,56.015,1.05223
19,Academy of Management Annals,ACAD MANAG ANN,1941-6520,"4,250",11.865,11.673,17.833,1.565,23,6.8,11.7,0.00953,7.869,73.91,99.725,1.16367
20,ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,0001-4273,"40,902",7.571,7.068,11.853,0.973,73,15.7,13.5,0.0289,5.597,100,95.216,3.52619
21,Academy of Management Learning & Education,ACAD MANAG LEARN EDU,1537-260X,"2,936",4.058,3.462,4.784,0.731,26,9.5,10.6,0.00196,1.05,100,86.959,0.23931
22,Academy of Management Perspectives,ACAD MANAGE PERSPECT,1558-9080,"3,187",5.098,4.976,7.714,0.679,28,8,11.9,0.00416,2.774,100,86.186,0.50854
23,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,0363-7425,"35,980",8.413,7.873,12.44,3.382,34,20.6,13.8,0.01,5.622,94.12,96.974,1.22119
24,ACAROLOGIA,ACAROLOGIA,0044-586X,"1,054",0.842,0.777,0.818,0.277,47,28.6,22.3,0.00082,0.257,100,35.149,0.10025
25,ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,0001-4575,"20,494",3.655,2.922,4.101,1.199,367,7.9,8.8,0.02001,0.974,97.82,90.154,2.44182
26,Accountability in Research-Policies and Quality Assurance,ACCOUNT RES,0898-9621,414,1.458,1.125,1.839,0.636,22,5.6,6.1,0.00067,0.476,90.91,53.125,0.08205
27,ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,0001-4788,977,1.833,1.727,2.46,0.441,34,7.4,10.8,0.00085,0.45,100,57.87,0.10394
28,Accounting and Finance,ACCOUNT FINANC,0810-5391,"1,534",2.217,1.674,2.031,0.987,75,7.7,10,0.00085,0.262,100,70.833,0.10422
29,Accounting Auditing & Accountability Journal,ACCOUNT AUDIT ACCOUN,0951-3574,"5,172",3.497,2.42,4.68,0.481,106,11.3,11.2,0.00232,0.601,94.34,91.204,0.28312
30,Accounting Forum,ACCOUNT FORUM,0155-9982,"1,137",1.824,1.608,Not Available,0.813,16,9,10.3,0.00053,Not Available,93.75,56.944,0.06504
31,Accounting Horizons,ACCOUNT HORIZ,0888-7993,"2,395",1.576,1.5,2.648,0.618,34,12.3,11.2,0.00143,0.626,97.06,44.907,0.17562
32,ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,0361-3682,"7,618",3.958,3.423,4.806,0.622,37,14.7,12.8,0.00243,1.038,100,94.907,0.29753
33,ACCOUNTING REVIEW,ACCOUNT REV,0001-4826,"13,269",3.993,3.628,5.763,0.852,88,12.3,11.7,0.01068,2.251,100,95.833,1.30369
34,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,0001-4842,"72,738",20.832,20.695,20.952,3.552,324,6.4,5.7,0.12197,6.244,0,96.328,14.88048
35,ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,0949-1775,685,0.662,0.577,0.544,0.094,53,12,8.9,0.0003,0.105,98.11,8.276,0.03696
36,ACI MATERIALS JOURNAL,ACI MATER J,0889-325X,"5,757",1.483,1.343,1.683,0.281,114,16.5,9.4,0.00193,0.392,98.25,31.464,0.23588
37,ACI STRUCTURAL JOURNAL,ACI STRUCT J,0889-3241,"6,917",1.566,1.208,1.924,0.361,144,14.6,10.6,0.00327,0.438,99.31,36.086,0.39932
38,ACM COMPUTING SURVEYS,ACM COMPUT SURV,0360-0300,"8,677",7.99,7.72,9.456,1.755,151,6.2,6.6,0.01279,2.419,90.07,96.759,1.56125
39,ACM Journal on Computing and Cultural Heritage,ACM J COMPUT CULT HE,1556-4673,273,1.727,1.591,1.491,0.5,22,4.4,7.5,0.00031,0.221,100,34.404,0.03811
40,ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,1550-4832,555,1.652,1.576,1.542,0.75,28,4.8,6.2,0.00135,0.496,100,32.32,0.165
41,ACM SIGCOMM Computer Communication Review,ACM SIGCOMM COMP COM,0146-4833,"7,503",1.951,1.803,6.024,0.184,49,8.5,7.6,0.00874,2.044,85.71,38.782,1.06746
42,ACM Transactions on Algorithms,ACM T ALGORITHMS,1549-6325,771,0.758,0.725,1.104,0.17,53,8.5,11.6,0.0023,0.823,100,23.825,0.28148
43,ACM Transactions on Applied Perception,ACM T APPL PERCEPT,1544-3558,486,1.378,1.333,1.339,0.286,21,9.4,9.8,0.00057,0.409,100,42.13,0.07063
44,ACM Transactions on Architecture and Code Optimization,ACM T ARCHIT CODE OP,1544-3566,677,1.309,1.106,1.329,0.176,85,5.4,6.9,0.0015,0.42,100,36.578,0.18309
45,ACM Transactions on Asian and Low-Resource Language Information Processing,ACM T ASIAN LOW-RESO,2375-4699,129,1.42,1.14,1.138,0.104,48,2.7,6.5,0.00013,0.097,100,24.632,0.01621
46,ACM Transactions on Autonomous and Adaptive Systems,ACM T AUTON ADAP SYS,1556-4665,464,1.775,1.725,2.072,0,16,6.1,8.3,0.00072,0.518,93.75,44.61,0.08865
