Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
2D Materials,2D MATER,2053-1583,"9,244",7.103,6.804,8.161,2.404,198,3.5,6.1,0.022420,2.170,93.94,78.657,4.69923
3 Biotech,3 BIOTECH,2190-572X,"6,624",2.406,2.284,3.203,0.542,548,3.6,8.1,0.008220,0.469,91.06,29.874,1.72394
3D Printing and Additive Manufacturing,3D PRINT ADDIT MANUF,2329-7662,"1,123",5.449,5.304,5.480,1.051,39,4.0,5.1,0.001670,1.068,100.00,72.246,0.35032
4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,1619-4500,678,1.545,1.424,2.176,0.477,44,9.6,10.7,0.000680,0.783,97.73,25.595,0.14365
AAPG BULLETIN,AAPG BULL,0149-1423,"18,433",3.529,3.393,4.438,1.233,90,18.6,13.0,0.004980,1.089,100.00,65.578,1.04508
AAPS Journal,AAPS J,1550-7416,"7,616",4.009,3.777,4.743,0.913,126,7.1,7.9,0.006720,1.009,87.30,60.545,1.40904
AAPS PHARMSCITECH,AAPS PHARMSCITECH,1530-9932,"10,553",3.246,3.020,3.473,0.782,284,6.7,7.2,0.006270,0.463,91.20,46.364,1.31397
AATCC Journal of Research,AATCC J RES,2330-5517,193,1.127,1.095,1.029,0.176,34,3.6,8.7,0.000230,0.170,97.06,46.000,0.05011
AATCC REVIEW,AATCC REV,1532-8813,173,0.111,0.111,0.300,0.000,8,15.0,Not Available,0.000020,0.061,100.00,3.025,0.00528
Abacus-A Journal of Accounting Finance and Business Studies,ABACUS,0001-3072,"1,142",2.378,2.244,2.667,0.280,25,11.5,11.9,0.000700,0.616,100.00,47.685,0.14759
Abdominal Radiology,ABDOM RADIOL,2366-004X,"4,221",3.039,2.611,2.965,0.732,609,2.5,7.1,0.009040,0.690,82.43,54.851,1.89434
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,0025-5858,589,0.382,0.382,0.473,0.000,15,49.8,23.9,0.000520,0.565,100.00,5.000,0.11094
Academia-Revista Latinoamericana de Administracion,ACAD-REV LATINOAM AD,1012-8255,338,1.108,0.862,1.255,0.472,36,4.9,11.1,0.000200,0.136,91.67,5.870,0.04247
ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,1069-6563,"11,785",3.451,3.152,3.891,2.706,180,9.8,5.8,0.010370,1.376,88.33,79.688,2.17346
ACADEMIC MEDICINE,ACAD MED,1040-2446,"22,828",6.893,5.742,7.564,3.040,251,7.7,7.2,0.027600,2.710,94.02,97.811,5.78315
Academic Pediatrics,ACAD PEDIATR,1876-2859,"4,049",3.107,2.755,3.955,0.959,145,4.9,7.1,0.009460,1.532,96.55,75.581,1.98303
ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,1042-9670,"2,592",3.293,2.737,3.229,1.130,108,5.0,6.6,0.003890,0.867,96.30,69.296,0.81516
ACADEMIC RADIOLOGY,ACAD RADIOL,1076-6332,"7,316",3.173,2.932,2.751,2.967,243,6.2,5.7,0.008800,0.834,91.77,58.582,1.84376
Academy of Management Annals,ACAD MANAG ANN,1941-6520,"6,851",16.438,16.000,23.832,4.806,31,7.2,11.3,0.012950,11.762,67.74,99.505,2.71512
ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,0001-4273,"54,951",10.194,9.838,15.873,3.352,71,15.9,13.2,0.032030,7.588,100.00,94.130,6.71152
Academy of Management Learning & Education,ACAD MANAG LEARN EDU,1537-260X,"4,039",4.373,3.667,6.807,2.857,21,9.9,11.2,0.002730,1.832,100.00,71.831,0.57301
Academy of Management Perspectives,ACAD MANAGE PERSPECT,1558-9080,"4,802",7.846,7.558,9.642,4.633,30,8.2,10.3,0.004510,3.651,100.00,85.477,0.94518
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,0363-7425,"47,985",12.638,12.290,18.362,5.600,35,21.1,14.4,0.013240,8.462,100.00,98.409,2.77485
ACAROLOGIA,ACAROLOGIA,0044-586X,"1,232",1.242,0.968,1.056,0.556,54,23.0,24.0,0.000710,0.261,98.15,38.725,0.14996
ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,0001-4575,"25,323",4.993,3.986,5.147,1.244,385,7.9,7.5,0.020400,1.186,97.40,90.699,4.27588
Accountability in Research-Policies and Quality Assurance,ACCOUNT RES,0898-9621,616,2.622,1.911,2.664,0.720,50,5.6,6.8,0.000710,0.636,94.00,65.625,0.15083
ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,0001-4788,"1,433",3.063,2.781,3.824,0.635,52,6.6,11.4,0.001590,0.977,100.00,66.204,0.33520
Accounting and Finance,ACCOUNT FINANC,0810-5391,"2,707",2.942,2.163,3.270,0.649,262,7.1,11.7,0.001630,0.494,97.33,64.352,0.34313
Accounting Auditing & Accountability Journal,ACCOUNT AUDIT ACCOUN,0951-3574,"6,360",4.117,3.342,5.340,0.796,98,9.9,10.1,0.003470,0.918,94.90,85.648,0.72905
Accounting Forum,ACCOUNT FORUM,0155-9982,"1,522",2.875,2.725,3.864,0.850,20,9.4,11.5,0.000740,0.654,100.00,61.574,0.15513
Accounting Horizons,ACCOUNT HORIZ,0888-7993,"2,877",2.162,2.029,3.149,0.333,36,12.9,11.5,0.001820,1.020,100.00,43.056,0.38304
ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,0361-3682,"9,127",4.000,3.681,5.914,1.048,42,14.4,12.3,0.003740,1.956,100.00,82.870,0.78474
ACCOUNTING REVIEW,ACCOUNT REV,0001-4826,"17,423",4.301,4.000,6.992,1.080,88,12.1,11.7,0.014760,3.695,100.00,89.352,3.09295
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,0001-4842,"82,124",22.384,22.267,22.732,6.008,245,6.7,6.0,0.097870,6.270,0.00,94.693,20.50547
ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,0949-1775,787,0.655,0.609,0.681,0.308,39,11.6,8.5,0.000290,0.122,97.44,4.419,0.06118
ACI MATERIALS JOURNAL,ACI MATER J,0889-325X,"7,106",1.802,1.653,2.177,0.289,128,17.4,9.9,0.001990,0.438,97.66,28.314,0.41693
ACI STRUCTURAL JOURNAL,ACI STRUCT J,0889-3241,"8,538",1.744,1.474,2.239,0.343,143,15.1,10.9,0.003190,0.513,100.00,24.470,0.67015
ACM COMPUTING SURVEYS,ACM COMPUT SURV,0360-0300,"10,790",10.282,10.035,10.024,1.326,135,5.9,6.2,0.014380,2.631,89.63,96.818,3.01354
ACM Journal on Computing and Cultural Heritage,ACM J COMPUT CULT HE,1556-4673,394,2.020,1.820,2.121,0.457,35,4.5,7.8,0.000710,0.559,100.00,30.804,0.14943
ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,1550-4832,685,1.420,1.370,1.885,0.195,41,5.4,6.5,0.001130,0.575,100.00,17.756,0.23815
ACM SIGCOMM Computer Communication Review,ACM SIGCOMM COMP COM,0146-4833,"6,381",1.256,1.085,2.621,0.300,30,9.6,4.8,0.001830,0.742,100.00,15.123,0.38395
ACM Transactions on Algorithms,ACM T ALGORITHMS,1549-6325,889,1.140,1.084,1.326,0.208,53,8.2,12.4,0.002230,0.918,100.00,36.651,0.46729
ACM Transactions on Applied Perception,ACM T APPL PERCEPT,1544-3558,613,1.550,1.475,1.627,0.313,16,10.0,11.5,0.000470,0.391,93.75,37.500,0.09964
ACM Transactions on Architecture and Code Optimization,ACM T ARCHIT CODE OP,1544-3566,651,0.919,0.839,1.086,0.053,38,5.9,6.4,0.001040,0.337,100.00,13.040,0.21909
