Journal name,JCR Abbreviated Title,ISSN,eISSN,Category,Total Citations,Journal Impact Factor,JIF Quartile,JIF Percentile,Article Influence Score,AIS Quartile,Journal Citation Indicator (JCI),JCI Percentile,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
2D Materials,2D MATER,2053-1583,2053-1583,MATERIALS SCIENCE. MULTIDISCIPLINARY - SCIE,10.005,6.861,Q2,74.35,1.858,Q1,1.13,80.8,17.68,7.687,6.526,1.543,0.01888,4.03578,219,93.61,4.1,5.7,205
3 Biotech,3 BIOTECH,2190-572X,2190-5738,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,9.31,2.893,Q3,33.86,0.448,Q3,0.54,37.43,3.57,3.446,2.767,0.745,0.009,1.92356,501,88.22,3.9,7.3,442
3D Printing and Additive Manufacturing,3D PRINT ADDIT MANUF,2329-7662,2329-7670,Multiple,1.607,5.355,Q2,69.61,0.867,Q2,0.83,69.2,8.9,5.823,4.908,0.391,0.00135,0.28879,115,93.91,4.7,4.8,108
4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,1619-4500,1614-2411,OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE,697,1.763,Q4,23.56,0.654,Q3,0.37,23.5,18.75,2.089,1.61,0.381,0.00069,0.14877,21,100,8.5,9.4,21
AAPG BULLETIN,AAPG BULL,0149-1423,1558-9153,GEOSCIENCES. MULTIDISCIPLINARY - SCIE,19.81,3.863,Q2,64.43,0.968,Q2,0.95,72.34,0,4.47,3.701,1.095,0.00423,0.90407,95,98.95,19.7,15.3,94
AAPS Journal,AAPS J,1550-7416,1550-7416,PHARMACOLOGY & PHARMACY - SCIE,8.036,3.603,Q2,50.72,0.893,Q2,0.92,71.33,23.56,4.467,3.393,1.395,0.00536,1.14569,114,72.81,7.4,6.9,83
AAPS PHARMSCITECH,AAPS PHARMSCITECH,1530-9932,1530-9932,PHARMACOLOGY & PHARMACY - SCIE,11.935,4.026,Q2,59.32,0.475,Q3,0.95,72.99,8.79,3.951,3.809,0.838,0.00648,1.3864,297,85.86,6.1,7.2,255
AATCC Journal of Research,AATCC J RES,2330-5517,2330-5517,MATERIALS SCIENCE. TEXTILES - SCIE,167,0.726,Q4,17.31,0.079,Q4,0.25,29.31,0,0.741,0.658,0.042,0.00011,0.02358,48,93.75,4.5,8.1,45
AATCC REVIEW,AATCC REV,1532-8813,1532-8813,Multiple,177,0.778,Q4,21.15,0.078,Q4,0.03,5.17,0,0.514,0.778,N/A,0.00002,0.00553,N/A,N/A,14.8,N/A,N/A
Abacus-A Journal of Accounting Finance and Business Studies,ABACUS,0001-3072,1467-6281,BUSINESS. FINANCE - SSCI,1.269,2.06,Q3,33.78,0.625,Q3,0.97,72.62,14.12,3.243,1.8,0.543,0.00068,0.14597,35,100,10.6,12.1,35
Abdominal Radiology,ABDOM RADIOL,2366-004X,2366-0058,RADIOLOGY. NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE,5.822,2.886,Q3,40.81,0.657,Q3,0.74,61.25,7.24,3.003,2.615,0.432,0.01164,2.48781,474,82.7,2.9,6.7,392
