JournalFullName,Journal,ISSN,2021IF,2021AI
2D Materials,2D MATER,2053-1583,6.861,1.858
3 Biotech,3 BIOTECH,2190-572X,2.893,0.448
3D Printing and Additive Manufacturing,3D PRINT ADDIT MANUF,2329-7662,5.355,0.867
4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,1619-4500,1.763,0.654
AAPG BULLETIN,AAPG BULL,0149-1423,3.863,0.968
AAPS Journal,AAPS J,1550-7416,3.603,0.893
AAPS PHARMSCITECH,AAPS PHARMSCITECH,1530-9932,4.026,0.475
AATCC Journal of Research,AATCC J RES,2330-5517,0.726,0.079
AATCC REVIEW,AATCC REV,1532-8813,0.778,0.078
Abacus-A Journal of Accounting Finance and Business Studies,ABACUS,0001-3072,2.06,0.625
Abdominal Radiology,ABDOM RADIOL,2366-004X,2.886,0.657
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,0025-5858,0.5,0.338
Academia-Revista Latinoamericana de Administracion,ACAD-REV LATINOAM AD,1012-8255,1.369,0.202
ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,1069-6563,5.221,1.545
ACADEMIC MEDICINE,ACAD MED,1040-2446,7.84,2.864
Academic Pediatrics,ACAD PEDIATR,1876-2859,2.993,1.386
ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,1042-9670,2.385,0.871
ACADEMIC RADIOLOGY,ACAD RADIOL,1076-6332,5.482,0.937
Academy of Management Annals,ACAD MANAG ANN,1941-6520,19.241,12.596
ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,0001-4273,10.979,7.679
Academy of Management Learning & Education,ACAD MANAG LEARN EDU,1537-260X,6.149,2.028
Academy of Management Perspectives,ACAD MANAGE PERSPECT,1558-9080,8.069,3.606
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,0363-7425,13.865,7.885
ACAROLOGIA,ACAROLOGIA,0044-586X,1.475,0.308
ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,0001-4575,6.376,1.231
Accountability in Research-Policies and Quality Assurance,ACCOUNT RES,0898-9621,3.057,0.83
ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,0001-4788,2.326,0.768
Accounting and Finance,ACCOUNT FINANC,0810-5391,2.473,0.457
Accounting Auditing & Accountability Journal,ACCOUNT AUDIT ACCOUN,0951-3574,4.893,0.916
Accounting Forum,ACCOUNT FORUM,0155-9982,4,0.701
Accounting Horizons,ACCOUNT HORIZ,0888-7993,2.157,1.336
ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,0361-3682,4.114,1.983
ACCOUNTING REVIEW,ACCOUNT REV,0001-4826,5.182,4.116
