JournalFullName,Journal,ISSN,eISSN,2022IF,2022AI
3 BIOTECH,3 BIOTECH,2190-572X,2190-5738,2.8,0.423
3D PRINTING AND ADDITIVE MANUFACTURING,3D PRINT ADDIT MANUF,2329-7662,2329-7670,3.1,0.766
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,4OR-Q J OPER RES,1619-4500,1614-2411,2,0.591
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,AAA-ARB ANGLIST AM,0171-5410,N/A,0.1,0.237
AAPG BULLETIN,AAPG BULL,0149-1423,1558-9153,3.5,0.969
AAPS JOURNAL,AAPS J,1550-7416,1550-7416,4.5,0.876
AAPS PHARMSCITECH,AAPS PHARMSCITECH,1530-9932,1530-9932,3.3,0.419
AATCC JOURNAL OF RESEARCH,AATCC J RES,2330-5517,2330-5517,0.7,0.105
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,ABACUS,0001-3072,1467-6281,2.1,0.616
ABDOMINAL RADIOLOGY,ABDOM RADIOL,2366-004X,2366-0058,2.4,0.648
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,0025-5858,1865-8784,0.4,0.485
ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,ACAD-REV LATINOAM AD,1012-8255,2056-5127,1.2,0.196
ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,1069-6563,1553-2712,4.4,1.459
ACADEMIC MEDICINE,ACAD MED,1040-2446,1938-808X,7.4,2.819
ACADEMIC PEDIATRICS,ACAD PEDIATR,1876-2859,1876-2867,3.1,1.403
ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,1042-9670,1545-7230,2.5,0.859
ACADEMIC RADIOLOGY,ACAD RADIOL,1076-6332,1878-4046,4.8,0.96
ACADEMY OF MANAGEMENT ANNALS,ACAD MANAG ANN,1941-6520,1941-6067,21.2,14.179
ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,0001-4273,1948-0989,10.5,7.7
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,ACAD MANAG LEARN EDU,1537-260X,N/A,4.8,1.824
ACADEMY OF MANAGEMENT PERSPECTIVES,ACAD MANAGE PERSPECT,1558-9080,N/A,8.9,3.996
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,0363-7425,1930-3807,16.4,8.937
ACADIENSIS,ACADIENSIS,0044-5851,1712-7432,0.1,0.047
ACAROLOGIA,ACAROLOGIA,0044-586X,2107-7207,1.1,0.324
ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,0001-4575,1879-2057,5.9,1.245
ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,0001-4788,2159-4260,1.7,0.861
ACCOUNTING AND FINANCE,ACCOUNT FINANC,0810-5391,1467-629X,2.6,0.549
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,ACCOUNT AUDIT ACCOUN,0951-3574,1758-4205,4.2,1.096
