Journal	JournalFullName	ISSN	2024IF	2024AI
19 CENTURY CONTEXTS	NINETEENTH-CENTURY CONTEXTS-AN INTERDISCIPLINARY JOURNAL	0890-5495	0.2	0.23
20 21 REV HIST	20 ET 21-REVUE D HISTOIRE	2649-664X	0.0	0.018
2D MATER	2D MATERIALS	2053-1583	4.3	1.19
3 BIOTECH	3 BIOTECH	2190-572X	2.9	0.484
3C EMPRESA	3C EMPRESA	2254-3376	0.3	0.041
3C TECNOL	3C TECNOLOGIA	2254-4143	0.2	0.044
3C TIC	3C TIC	2254-6529	0.1	0.021
3D PRINT ADDIT MANUF	3D PRINTING AND ADDITIVE MANUFACTURING	2329-7662	2.1	0.484
3D PRINT MED	3D PRINTING IN MEDICINE	N/A	3.1	0.83
3L-LANG LINGUIST LIT	3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES	0128-5157	0.8	0.151
452 F-REV TEOR LIT L	452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA	N/A	0.1	0.065
4OR-Q J OPER RES	4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH	1619-4500	2.6	0.816
A A PRACT	A & A PRACTICE	2575-3126	0.6	0.164
AAA-ARB ANGLIST AM	AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK	0171-5410	0.3	0.169
AACE CLIN CASE REP	AACE CLINICAL CASE REPORTS	2376-0605	1.2	0.0
AACN ADV CRIT CARE	AACN ADVANCED CRITICAL CARE	1559-7768	1.5	0.371
AAPG BULL	AAPG BULLETIN	0149-1423	2.5	0.838
AAPPS B	AAPPS BULLETIN	N/A	5.9	0.0
AAPS J	AAPS JOURNAL	1550-7416	3.7	0.966
AAPS PHARMSCITECH	AAPS PHARMSCITECH	1530-9932	4.0	0.51
AATCC J RES	AATCC JOURNAL OF RESEARCH	2472-3444	1.2	0.152
AATCC REV	AATCC REVIEW	1532-8813	0.7	0.019
AB IMP	AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE	2166-4072	0.6	0.557
ABACUS	ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES	0001-3072	2.3	0.632
ABAKOS	ABAKOS	2316-9451	0.0	0.008
ABANICO VET	ABANICO VETERINARIO	2007-4204	0.3	0.081
ABCD-ARQ BRAS CIR DI	ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY	0102-6720	1.8	0.245
ABDOM RADIOL	ABDOMINAL RADIOLOGY	2366-004X	2.2	0.674
ABE J	ABE JOURNAL	2275-6639	0.3	0.239
ABH MATH SEM HAMBURG	ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG	0025-5858	0.3	0.298
ABIOTECH	ABIOTECH	2096-6326	5.0	1.082
ABORIG HIST	ABORIGINAL HISTORY	0314-8769	0.1	0.13
ABORIG POLICY STUD	ABORIGINAL POLICY STUDIES	1923-3299	1.4	0.217
ABRIU-ESTUD TEXTUAL	ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL	2014-8526	0.1	0.128
ACAD EMERG MED	ACADEMIC EMERGENCY MEDICINE	1069-6563	3.2	1.192
ACAD J MOD PHILOL	ACADEMIC JOURNAL OF MODERN PHILOLOGY	2299-7164	0.0	0.019
ACAD MANAG ANN	ACADEMY OF MANAGEMENT ANNALS	1941-6520	16.5	13.88
ACAD MANAG DISCOV	ACADEMY OF MANAGEMENT DISCOVERIES	N/A	4.8	3.075
