Date	Credits	Hours	Spent	
06/5/2025	1680	3744	
05/5/2025	1729	3998.25	
04/5/2025	1608	3528	
03/5/2025	1591.5	3441.5	
02/5/2025	1440	2904	
01/5/2025	1440	2904	
30/4/2025	1440	2904	
29/4/2025	1440	2904	
28/4/2025	1440	2904	
27/4/2025	1423.25	2842	
26/4/2025	1360	2617.75	
25/4/2025	1368	2640	
24/4/2025	1415.25	2831.5	
23/4/2025	1366.25	2634.75	
22/4/2025	1344	2568	
21/4/2025	1288.5	2365.25	
20/4/2025	1272	2304	
19/4/2025	1271.75	2303.75	
18/4/2025	1156.25	2003.5	
17/4/2025	1152	1992	
16/4/2025	1121.25	1927.75	
15/4/2025	1080	1776	
14/4/2025	1048.75	1692.75	
13/4/2025			-20000
13/4/2025	984	1488	
12/4/2025	984	1488	
11/4/2025	984	1488	
10/4/2025	972.5	1469	
09/4/2025	971.5	1450.75	
08/4/2025	960	1416	
07/4/2025	960	1416	
06/4/2025	960	1416	
05/4/2025	958	1413	
04/4/2025	907.75	1330	
03/4/2025	1277.75	1824.75	
01/4/2025	799	1104.5	
31/3/2025	816	1128	
30/3/2025	816	1128	
29/3/2025	799	1087.25	
28/3/2025			-20000
28/3/2025	696	864	
27/3/2025	696	863.5	
26/3/2025	696	864	
25/3/2025	696	860.75	
24/3/2025	572.75	691.25	
23/3/2025	769	1004.75	
22/3/2025	752	975.25	
21/3/2025	720	888	
20/3/2025	709	876	
19/3/2025	696	840	
18/3/2025	696	840	
17/3/2025	695.25	839.25	
16/3/2025	413	500.75	
15/3/2025	598	690	
14/3/2025	618.75	714.75	
13/3/2025	600	696	
12/3/2025	600	696	
11/3/2025	600	696	
10/3/2025	600	696	
09/3/2025	594.25	686	
08/3/2025	571.25	643.5	
07/3/2025	566	631	
06/3/2025	504	528	
05/3/2025	504	528	
04/3/2025	303.25	259.25	
03/3/2025	288	240	
02/3/2025	256	208	
01/3/2025	133.75	94.75	
24/2/2025	50.25	38.75	
23/2/2025	77.5	65	
22/2/2025	295.25	247.25	
21/2/2025	182.75	137	
19/2/2025	30	22.5	
18/2/2025	192	144	
17/2/2025	192	144	
16/2/2025	56	42	
15/2/2025	276	304	
14/2/2025	706.5	866.5	
13/2/2025	687.5	827.25	
12/2/2025	648	768	
11/2/2025	648	768	
10/2/2025	641.25	760	
09/2/2025	534.25	563	
08/2/2025	528	552	
07/2/2025	527.5	551	
06/2/2025	500	500	
05/2/2025	433	409.75	
04/2/2025	423	397	
03/2/2025	314.5	274.5	
01/2/2025	78.5	60.5	
31/1/2025	216	168	
30/1/2025	216	168	
29/1/2025	216	168	
28/1/2025	216	168	
27/1/2025	216	168	
26/1/2025	233	185	
25/1/2025	215.5	167.5	
24/1/2025	78	46.5	
23/1/2025	44	22	
22/1/2025	134	115.75	
21/1/2025	399.75	375.75	
20/1/2025	384	360	
19/1/2025	358.75	329.25	
18/1/2025	285.75	237.75	
17/1/2025	196.5	148.5	
16/1/2025	164.75	122.25	
12/1/2025	222.25	187.75	
11/1/2025	192	144	
10/1/2025	141	94	
09/1/2025	475.25	492.75	
08/1/2025	490	489.5	
07/1/2025	480	480	
06/1/2025	466.25	469.25	
05/1/2025	552	600	
04/1/2025	552	600	
03/1/2025	552	600	
02/1/2025	603.75	686.25	
01/1/2025	687.25	844.5	
31/12/2024	515	607.75	
30/12/2024	833.75	1164	
29/12/2024	1312.5	1706.5	
27/12/2024	534	679.5	
