MicroMag 2900/3900 Data File (Series 0016.002)
Direct moment vs. field; Multiple segments

INSTRUMENT
Configuration                   VSM
Temperature control             None
Hardware version                0004
Software version                05/31/2011
Units of measure                cgs
Temperature in                  Kelvin

SAMPLE
Mass                            N/A
Volume                          N/A
Demagnetizing factor            N/A

SETTINGS
Field range                    +3.000000E+03
Field (command)                 N/A
Moment range                   +500.0000E-06
Averaging time                  N/A
Temperature (command)           N/A
Tmprtr difference correction    No
Orientation                    +90.00000E+00
Vibration amplitude             1.0
Calibration factor             +8.169386E-03
Operating frequency            +83.00000E+00
Sweep mode                      Discrete
Pause after sweep increment    +100.0000E-03

MEASUREMENT
Description                    ""
Field (measured)                N/A
Temperature (measured)          N/A
Averages (completed)            N/A
Measured on                     04/16/2026  12:39
Elapsed time                   +27.24795E+03

PROCESSING
Background subtraction          No
Delta-m processing              N/A
Demagnetizing factor            No
Normalization                   No
Normalization factor            N/A
Offset (field)                  No
Offset (moment)                 No
Pole saturation                 No
Slope correction                No

VIEWPORT
Left                           -2.000000E+03
Right                          +2.000000E+03
Bottom                         -500.0000E-06
Top                            +500.0000E-06
Show X-axis?                    Yes
Show Y-axis?                    Yes

CHARACTERIZATION
Initial slope                   N/A
Saturation                     +210.5272E-06
Remanence                      +123.0402E-06
Coercivity                     +408.6660E+00
S*                             +12.85356E-03

SCRIPT
Number of segments              203
Number of data                  5251

Segment   Averaging      Initial        Field         Final                    Final 
 Number      Time         Field       Increment       Field         Pause      Index 
             (s)           (Oe)          (Oe)          (Oe)          (s)     
0000001,+1.000000E-03, 0.000000E+00,+100.0000E+00,+2.000000E+03,+1.000000E+00,0000000
0000002,+1.000000E-03,+2.000000E+03,+19.80198E+00,+1.960396E+03,+1.000000E+00,0000000
0000003,+5.000000E+00,+1.960396E+03,+19.80198E+00,+2.000000E+03,+1.000000E+00,0000003
0000004,+1.000000E-03,+2.000000E+03,+39.60396E+00,+1.920792E+03,+1.000000E+00,0000003
0000005,+5.000000E+00,+1.920792E+03,+39.60396E+00,+2.000000E+03,+1.000000E+00,0000006
0000006,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.881188E+03,+1.000000E+00,0000006
0000007,+5.000000E+00,+1.881188E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000010
0000008,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.841584E+03,+1.000000E+00,0000010
0000009,+5.000000E+00,+1.841584E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000015
0000010,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.801980E+03,+1.000000E+00,0000015
0000011,+5.000000E+00,+1.801980E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000021
0000012,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.762376E+03,+1.000000E+00,0000021
0000013,+5.000000E+00,+1.762376E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000028
0000014,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.722772E+03,+1.000000E+00,0000028
0000015,+5.000000E+00,+1.722772E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000036
0000016,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.683168E+03,+1.000000E+00,0000036
0000017,+5.000000E+00,+1.683168E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000045
0000018,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.643564E+03,+1.000000E+00,0000045
0000019,+5.000000E+00,+1.643564E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000055
0000020,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.603960E+03,+1.000000E+00,0000055
0000021,+5.000000E+00,+1.603960E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000066
0000022,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.564356E+03,+1.000000E+00,0000066
0000023,+5.000000E+00,+1.564356E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000078
0000024,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.524752E+03,+1.000000E+00,0000078
0000025,+5.000000E+00,+1.524752E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000091
0000026,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.485149E+03,+1.000000E+00,0000091
0000027,+5.000000E+00,+1.485149E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000105
0000028,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.445545E+03,+1.000000E+00,0000105
0000029,+5.000000E+00,+1.445545E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000120
0000030,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.405941E+03,+1.000000E+00,0000120
0000031,+5.000000E+00,+1.405941E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000136
0000032,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.366337E+03,+1.000000E+00,0000136
0000033,+5.000000E+00,+1.366337E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000153
0000034,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.326733E+03,+1.000000E+00,0000153
0000035,+5.000000E+00,+1.326733E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000171
0000036,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.287129E+03,+1.000000E+00,0000171
0000037,+5.000000E+00,+1.287129E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000190
0000038,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.247525E+03,+1.000000E+00,0000190
0000039,+5.000000E+00,+1.247525E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000210
0000040,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.207921E+03,+1.000000E+00,0000210
0000041,+5.000000E+00,+1.207921E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000231
0000042,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.168317E+03,+1.000000E+00,0000231
0000043,+5.000000E+00,+1.168317E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000253
0000044,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.128713E+03,+1.000000E+00,0000253
0000045,+5.000000E+00,+1.128713E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000276
0000046,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.089109E+03,+1.000000E+00,0000276
0000047,+5.000000E+00,+1.089109E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000300
0000048,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.049505E+03,+1.000000E+00,0000300
0000049,+5.000000E+00,+1.049505E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000325
0000050,+1.000000E-03,+2.000000E+03,+40.00000E+00,+1.009901E+03,+1.000000E+00,0000325
0000051,+5.000000E+00,+1.009901E+03,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000351
0000052,+1.000000E-03,+2.000000E+03,+40.00000E+00,+970.2970E+00,+1.000000E+00,0000351
0000053,+5.000000E+00,+970.2970E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000378
0000054,+1.000000E-03,+2.000000E+03,+40.00000E+00,+930.6931E+00,+1.000000E+00,0000378
0000055,+5.000000E+00,+930.6931E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000406
0000056,+1.000000E-03,+2.000000E+03,+40.00000E+00,+891.0891E+00,+1.000000E+00,0000406
0000057,+5.000000E+00,+891.0891E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000435
0000058,+1.000000E-03,+2.000000E+03,+40.00000E+00,+851.4851E+00,+1.000000E+00,0000435
0000059,+5.000000E+00,+851.4851E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000465
0000060,+1.000000E-03,+2.000000E+03,+40.00000E+00,+811.8812E+00,+1.000000E+00,0000465
0000061,+5.000000E+00,+811.8812E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000496
0000062,+1.000000E-03,+2.000000E+03,+40.00000E+00,+772.2772E+00,+1.000000E+00,0000496
0000063,+5.000000E+00,+772.2772E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000528
0000064,+1.000000E-03,+2.000000E+03,+40.00000E+00,+732.6733E+00,+1.000000E+00,0000528
0000065,+5.000000E+00,+732.6733E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000561
0000066,+1.000000E-03,+2.000000E+03,+40.00000E+00,+693.0693E+00,+1.000000E+00,0000561
0000067,+5.000000E+00,+693.0693E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000595
0000068,+1.000000E-03,+2.000000E+03,+40.00000E+00,+653.4653E+00,+1.000000E+00,0000595
0000069,+5.000000E+00,+653.4653E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000630
0000070,+1.000000E-03,+2.000000E+03,+40.00000E+00,+613.8614E+00,+1.000000E+00,0000630
0000071,+5.000000E+00,+613.8614E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000666
0000072,+1.000000E-03,+2.000000E+03,+40.00000E+00,+574.2574E+00,+1.000000E+00,0000666
0000073,+5.000000E+00,+574.2574E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000703
0000074,+1.000000E-03,+2.000000E+03,+40.00000E+00,+534.6535E+00,+1.000000E+00,0000703
0000075,+5.000000E+00,+534.6535E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000741
0000076,+1.000000E-03,+2.000000E+03,+40.00000E+00,+495.0495E+00,+1.000000E+00,0000741
0000077,+5.000000E+00,+495.0495E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000780
0000078,+1.000000E-03,+2.000000E+03,+40.00000E+00,+455.4455E+00,+1.000000E+00,0000780
0000079,+5.000000E+00,+455.4455E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000820
0000080,+1.000000E-03,+2.000000E+03,+40.00000E+00,+415.8416E+00,+1.000000E+00,0000820
0000081,+5.000000E+00,+415.8416E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000861
0000082,+1.000000E-03,+2.000000E+03,+40.00000E+00,+376.2376E+00,+1.000000E+00,0000861
0000083,+5.000000E+00,+376.2376E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000903
0000084,+1.000000E-03,+2.000000E+03,+40.00000E+00,+336.6337E+00,+1.000000E+00,0000903
0000085,+5.000000E+00,+336.6337E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000946
0000086,+1.000000E-03,+2.000000E+03,+40.00000E+00,+297.0297E+00,+1.000000E+00,0000946
0000087,+5.000000E+00,+297.0297E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0000990
0000088,+1.000000E-03,+2.000000E+03,+40.00000E+00,+257.4257E+00,+1.000000E+00,0000990
0000089,+5.000000E+00,+257.4257E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0001035
0000090,+1.000000E-03,+2.000000E+03,+40.00000E+00,+217.8218E+00,+1.000000E+00,0001035
0000091,+5.000000E+00,+217.8218E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0001081
0000092,+1.000000E-03,+2.000000E+03,+40.00000E+00,+178.2178E+00,+1.000000E+00,0001081
0000093,+5.000000E+00,+178.2178E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0001128
0000094,+1.000000E-03,+2.000000E+03,+40.00000E+00,+138.6139E+00,+1.000000E+00,0001128
0000095,+5.000000E+00,+138.6139E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0001176
0000096,+1.000000E-03,+2.000000E+03,+40.00000E+00,+99.00990E+00,+1.000000E+00,0001176
0000097,+5.000000E+00,+99.00990E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0001225
0000098,+1.000000E-03,+2.000000E+03,+40.00000E+00,+59.40594E+00,+1.000000E+00,0001225
0000099,+5.000000E+00,+59.40594E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0001275
0000100,+1.000000E-03,+2.000000E+03,+40.00000E+00,+19.80198E+00,+1.000000E+00,0001275
0000101,+5.000000E+00,+19.80198E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0001326
0000102,+1.000000E-03,+2.000000E+03,+40.00000E+00,-19.80198E+00,+1.000000E+00,0001326
0000103,+5.000000E+00,-19.80198E+00,+40.00000E+00,+2.000000E+03,+1.000000E+00,0001378
