# t (s)	mx ()	my ()	mz ()	B_excit (T)	mx01 (T)	my01 (T)	mz01 (T)	mx02 (T)	mx03 (T)	mx04 (T)	mx05 (T)	mx06 (T)	mx07 (T)	mx08 (T)	mx09 (T)	mx10 (T)	mx11 (T)	mx12 (T)	mx13 (T)	mx14 (T)	mx15 (T)	mx16 (T)	mx17 (T)	mx18 (T)	mx19 (T)	mx20 (T)	mx21 (T)	mx22 (T)	mx23 (T)	mx24 (T)	mx25 (T)	mx26 (T)	mx27 (T)	mx28 (T)	mx29 (T)	mx30 (T)	mx31 (T)	mx32 (T)	mx33 (T)	mx34 (T)	mx35 (T)	mx36 (T)	mx37 (T)	mx38 (T)	mx39 (T)	mx40 (T)	mx41 (T)	mx42 (T)	mx43 (T)	mx44 (T)	mx45 (T)	mx46 (T)	mx47 (T)	mx48 (T)	mx49 (T)	mx50 (T)	mx51 (T)	mx52 (T)	mx53 (T)	mx54 (T)	mx55 (T)	mx56 (T)	mx57 (T)	mx58 (T)	mx59 (T)	mx60 (T)	mx61 (T)
0	0.098673984	0.95773745	-6.687362e-11	0	0.10134351	0.9573538	-5.2620765e-11	0.101876795	0.10231403	0.102676764	0.10298009	0.10323604	0.1034531	0.10363989	0.10379849	0.10393484	0.104052596	0.10415435	0.10424252	0.104318924	0.10438507	0.10444229	0.104492016	0.10453425	0.10457019	0.10460045	0.104625516	0.104645796	0.10466151	0.10467295	0.10468046	0.1046841	0.10468355	0.104678765	0.104670316	0.1046576	0.10464081	0.10461924	0.104592815	0.10456105	0.10452313	0.104479015	0.10442761	0.104368135	0.104299344	0.10421992	0.10412828	0.10402245	0.103899956	0.103756584	0.10359114	0.103397824	0.103171065	0.102903195	0.10258516	0.102203965	0.101743214	0.1011794	0.10047364	0.09959222	0.098460756	0.096980736	0.09499891	0.09229348	0.08852458	0.08320552	0.075530946
1.5806150097068083e-11	0.09870449	0.9577353	1.8360275e-05	0.00092902005	0.10135807	0.95735306	8.578528e-06	0.101882435	0.10231692	0.10267846	0.10298123	0.10323677	0.103453636	0.103640266	0.10379878	0.10393507	0.10405277	0.104154505	0.10424262	0.10431903	0.10438515	0.10444234	0.10449208	0.104534306	0.104570225	0.1046005	0.104625545	0.104645826	0.10466153	0.10467297	0.10468047	0.10468411	0.104683556	0.10467877	0.104670316	0.10465761	0.10464082	0.10461925	0.10459282	0.104561076	0.10452313	0.10447901	0.10442762	0.10436814	0.104299344	0.104219936	0.104128264	0.10402245	0.103899956	0.10375657	0.10359113	0.103397824	0.10317105	0.102903195	0.10258516	0.10220395	0.101743214	0.101179376	0.10047363	0.09959221	0.09846074	0.09698069	0.094998874	0.09229343	0.08852451	0.08320543	0.07553087
2.034928061635789e-11	0.09873503	0.9577333	2.7205639e-05	0.000999334	0.1013843	0.95735204	2.2262047e-05	0.10189282	0.10232233	0.10268168	0.10298334	0.10323822	0.10345466	0.10364103	0.10379935	0.10393552	0.10405313	0.10415479	0.10424286	0.104319215	0.10438531	0.104442485	0.10449219	0.1045344	0.10457032	0.104600556	0.10462562	0.10464588	0.10466158	0.104673006	0.1046805	0.10468413	0.10468359	0.1046788	0.10467035	0.104657635	0.10464084	0.10461927	0.104592845	0.10456109	0.10452314	0.10447903	0.10442763	0.10436815	0.10429935	0.104219936	0.10412828	0.10402246	0.10389997	0.103756584	0.10359114	0.103397824	0.103171065	0.10290319	0.10258516	0.10220395	0.101743214	0.101179376	0.10047363	0.099592194	0.09846074	0.09698068	0.09499885	0.092293404	0.088524476	0.08320539	0.07553082
3.2805732906887445e-11	0.098870195	0.95772433	4.2701566e-05	0.00061949453	0.101644024	0.95734257	0.00011798244	0.10199838	0.10237817	0.102715366	0.10300533	0.103253424	0.10346561	0.10364915	0.103805535	0.10394035	0.10405695	0.10415788	0.10424538	0.104321286	0.10438707	0.104443945	0.10449343	0.10453547	0.10457123	0.10460137	0.10462631	0.10464651	0.104662105	0.10467349	0.1046809	0.104684524	0.10468392	0.104679085	0.104670644	0.1046579	0.10464105	0.10461949	0.10459303	0.10456125	0.1045233	0.104479164	0.10442778	0.10436826	0.10429947	0.104220055	0.104128376	0.10402255	0.10390006	0.10375665	0.103591196	0.10339788	0.1031711	0.10290325	0.102585204	0.10220398	0.101743236	0.1011794	0.10047363	0.0995922	0.09846073	0.096980646	0.0949988	0.09229332	0.08852436	0.083205245	0.0755307
4.2528419074817923e-11	0.09898698	0.95771766	3.4509027e-05	-6.492889e-05	0.102188766	0.95732373	0.00024681687	0.102228664	0.10250186	0.10279057	0.10305481	0.103287764	0.103490405	0.10366755	0.10381958	0.1039513	0.10406564	0.10416489	0.10425113	0.104325995	0.10439101	0.10444728	0.10449625	0.10453791	0.10457332	0.10460318	0.10462791	0.10464791	0.10466329	0.10467465	0.104681805	0.10468535	0.104684636	0.10467974	0.10467134	0.104658484	0.104641564	0.10461998	0.104593456	0.10456165	0.104523666	0.10447951	0.10442809	0.10436856	0.104299724	0.10422029	0.1041286	0.10402277	0.10390025	0.10375682	0.103591375	0.10339803	0.10317126	0.10290339	0.10258533	0.1022041	0.10174333	0.10117948	0.1004737	0.09959226	0.09846078	0.09698068	0.0949988	0.092293285	0.08852429	0.08320516	0.07553065
5.164071114994598e-11	0.099049665	0.95771605	8.508552e-06	-0.00068311923	0.10302266	0.9572949	0.00035495078	0.10260384	0.10270756	0.102917	0.10313858	0.10334612	0.10353267	0.10369902	0.10384364	0.10397009	0.10408055	0.104176894	0.10426093	0.104334116	0.104397774	0.10445298	0.10450109	0.10454203	0.10457693	0.1046063	0.10463063	0.10465027	0.10466538	0.10467663	0.104683354	0.10468673	0.10468588	0.10468088	0.104672484	0.10465945	0.10464246	0.10462081	0.104594216	0.10456235	0.10452431	0.104480095	0.104428634	0.104369044	0.10430019	0.10422072	0.104128994	0.104023136	0.10390059	0.10375714	0.10359166	0.10339831	0.103171505	0.10290364	0.10258554	0.1022043	0.101743534	0.10117965	0.10047386	0.09959238	0.098460875	0.09698075	0.09499884	0.09229331	0.08852427	0.08320513	0.07553063
6.04170688651419e-11	0.09902901	0.9577198	-2.614246e-05	-0.0009876931	0.10396437	0.9572608	0.00036069503	0.10307938	0.10297823	0.10308641	0.103252016	0.103425734	0.10359062	0.1037423	0.10387682	0.10399602	0.104101166	0.104193516	0.104274504	0.104345344	0.104407154	0.10446088	0.10450779	0.10454776	0.104581885	0.104610614	0.10463436	0.104653515	0.10466833	0.10467921	0.10468568	0.104688585	0.104687534	0.10468256	0.104673974	0.10466083	0.10464367	0.104621924	0.10459525	0.10456332	0.10452516	0.10448087	0.10442937	0.10436974	0.10430081	0.10422131	0.10412955	0.104023635	0.10390104	0.10375757	0.10359206	0.103398696	0.10317185	0.10290398	0.102585845	0.10220458	0.1017438	0.1011799	0.10047407	0.09959259	0.09846105	0.09698089	0.09499893	0.09229336	0.08852429	0.08320515	0.07553064
7.166929252515134e-11	0.09887289	0.95773005	-6.519216e-05	-0.000770387	0.1047492	0.95722675	9.756394e-05	0.10365818	0.103342645	0.103325255	0.10341609	0.1035429	0.103676915	0.10380726	0.10392688	0.104035296	0.10413244	0.10421879	0.104295164	0.104362406	0.10442139	0.10447286	0.10451798	0.1045565	0.10458936	0.10461708	0.104640044	0.104658514	0.104672804	0.10468293	0.1046894	0.10469146	0.10469012	0.104685225	0.10467617	0.10466291	0.104645506	0.10462359	0.104596816	0.10456474	0.104526445	0.104482085	0.10443046	0.10437074	0.10430174	0.10422218	0.10413035	0.10402439	0.10390174	0.103758216	0.10359268	0.10339924	0.10317238	0.102904476	0.102586314	0.102205016	0.10174418	0.101180255	0.10047441	0.09959288	0.09846129	0.0969811	0.094999075	0.092293434	0.08852433	0.08320516	0.07553065
8.255601192192853e-11	0.09863368	0.9577406	-7.684471e-05	-5.8575108e-05	0.10411763	0.9572314	-0.00046338115	0.10381418	0.10353603	0.1034797	0.103532895	0.10363114	0.103744335	0.10385934	0.10396772	0.104067735	0.10415849	0.10423994	0.10431252	0.10437678	0.10443339	0.10448297	0.10452652	0.10456378	0.10459565	0.10462253	0.10464475	0.10466267	0.10467637	0.104686104	0.1046923	0.10469423	0.1046925	0.1046874	0.10467791	0.104664624	0.104646996	0.10462494	0.10459804	0.10456586	0.104527466	0.10448303	0.10443134	0.104371555	0.1043025	0.10422287	0.10413098	0.10402496	0.10390229	0.103758715	0.10359314	0.10339968	0.10317279	0.10290485	0.10258666	0.10220533	0.10174448	0.101180516	0.10047465	0.09959309	0.09846147	0.09698121	0.09499916	0.09229346	0.08852432	0.08320508	0.07553049
9.053411895020493e-11	0.09846173	0.95774573	-6.364225e-05	0.0005166438	0.10239421	0.95726776	-0.0009377938	0.103434846	0.10345138	0.103471376	0.10354573	0.10364887	0.103761725	0.10387482	0.10398095	0.10407885	0.10416777	0.104247674	0.10431895	0.10438215	0.10443789	0.10448677	0.10452972	0.10456652	0.10459797	0.10462455	0.104646504	0.10466416	0.10467768	0.10468726	0.104693286	0.104695216	0.10469341	0.1046881	0.10467851	0.104665175	0.10464748	0.10462538	0.10459845	0.104566224	0.10452779	0.10448332	0.104431614	0.10437181	0.10430273	0.10422308	0.10413117	0.10402513	0.10390245	0.103758864	0.10359328	0.1033998	0.10317289	0.10290495	0.102586746	0.10220541	0.10174455	0.101180576	0.10047468	0.09959311	0.09846149	0.09698119	0.0949991	0.092293374	0.08852417	0.08320487	0.075530246
